,e401k,inc,marr,male,age,fsize,nettfa,p401k,pira,incsq,agesq
2519,1,67.5,1,0,40,5,9.199,0,0,4556.25,1600
2520,0,10.2,0,1,28,1,0.05,0,0,104.03999,784
2521,0,38.76,1,0,40,5,-2.61,0,0,1502.3375,1600
2522,1,44.76,1,0,42,3,4.2,1,0,2003.4574,1764
2523,0,36.489,1,0,42,3,104.5,0,0,1331.447,1764
2524,1,83.61,1,0,52,4,49.5,1,0,6990.6323,2704
2525,1,20.025,0,0,29,2,8.55,1,0,401.0006,841
2526,0,56.133,1,0,43,4,-3.175,0,0,3150.9136,1849
2527,0,25.758,1,0,44,3,0.345,0,0,663.47455,1936
2528,0,40.389,1,0,30,5,-2.0,0,0,1631.2714,900
2529,0,10.2,0,1,30,1,0.0,0,0,104.03999,900
2530,1,35.136,1,0,36,4,53.539,1,0,1234.5386,1296
2531,1,50.367,1,0,29,4,4.42,1,0,2536.8347,841
2532,0,31.221,0,0,41,2,-3.67,0,0,974.75085,1681
2533,0,12.114,0,1,25,1,7.3,0,1,146.74901,625
2534,1,14.076,1,0,35,4,-1.645,1,0,198.13379,1225
2535,0,65.82,1,0,43,2,37.279,0,1,4332.2725,1849
2536,0,10.185,1,0,36,5,-4.925,0,0,103.73423,1296
2537,0,13.824,0,0,36,1,-7.6,0,0,191.10298,1296
2538,0,29.076,1,0,42,3,-3.05,0,0,845.4138,1764
2539,0,40.467,0,1,41,2,-9.72,0,0,1637.578,1681
2540,1,39.396,0,0,29,1,16.201,1,0,1552.0448,841
2541,1,33.615,0,0,40,4,-0.851,0,0,1129.9684,1600
2542,0,54.192,1,0,61,2,26.0,0,1,2936.773,3721
2543,0,25.815,0,1,26,1,-0.5,0,0,666.41425,676
2544,1,39.027,1,1,33,3,0.836,1,0,1523.1068,1089
2545,0,20.928,0,1,41,1,0.0,0,0,437.98117,1681
2546,1,14.643,0,1,30,1,9.298,0,0,214.41743,900
2547,1,69.0,1,0,43,2,79.7,1,0,4761.0,1849
2548,0,21.702,0,0,35,2,18.899,0,0,470.97678,1225
2549,1,29.25,1,0,45,4,4.0,1,0,855.5625,2025
2550,0,25.548,0,0,63,4,1.4,0,0,652.7003,3969
2551,0,33.75,1,0,50,2,5.5,0,0,1139.0625,2500
2552,1,31.221,0,0,30,1,42.817,1,1,974.75085,900
2553,0,40.854,1,0,59,2,25.618,0,1,1669.0493,3481
2554,0,48.0,0,1,41,1,0.0,0,0,2304.0,1681
2555,0,16.5,1,0,51,5,0.0,0,0,272.25,2601
2556,0,38.205,1,0,40,6,-1.3,0,0,1459.6222,1600
2557,0,40.83,1,0,27,3,-4.39,0,0,1667.089,729
2558,0,49.656,1,0,48,3,-5.25,0,0,2465.7183,2304
2559,1,60.741,1,0,53,3,24.5,1,0,3689.4692,2809
2560,0,55.218,1,1,53,2,20.3,0,1,3049.0273,2809
2561,1,29.637,1,0,31,3,-0.31,1,0,878.35175,961
2562,0,11.733,1,0,25,2,0.049,0,0,137.66328,625
2563,1,36.243,1,0,38,6,30.626,1,1,1313.555,1444
2564,1,66.24,1,0,62,2,161.0,1,1,4387.7373,3844
2565,0,83.301,1,0,61,2,88.9,0,1,6939.057,3721
2566,1,28.845,1,1,42,2,-3.75,0,0,832.034,1764
2567,1,63.894,1,0,43,2,0.5,1,1,4082.4434,1849
2568,0,45.78,1,1,32,3,-1.25,0,0,2095.8083,1024
2569,1,56.802,1,0,44,4,129.011,1,1,3226.467,1936
2570,0,14.85,0,0,29,2,14.5,0,0,220.5225,841
2571,0,30.3,1,0,27,4,4.0,0,1,918.08997,729
2572,1,38.64,0,1,34,1,0.0,0,0,1493.0496,1156
2573,0,40.827,1,0,53,4,158.206,0,1,1666.8439,2809
2574,0,31.089,1,0,27,4,0.0,0,0,966.52594,729
2575,0,16.386,1,1,31,3,-1.2,0,0,268.50098,961
2576,1,95.58,1,0,46,2,25.8,1,1,9135.537,2116
2577,0,30.021,1,0,39,4,-20.509,0,0,901.26044,1521
2578,1,36.156,0,1,44,1,4.8,1,0,1307.2562,1936
2579,1,52.572,1,1,35,2,28.9,1,1,2763.815,1225
2580,1,30.6,1,0,49,5,1.214,1,0,936.36005,2401
2581,0,15.003,0,0,37,1,0.465,0,0,225.09001,1369
2582,0,38.34,1,0,37,5,2.51,0,1,1469.9556,1369
2583,0,13.506,0,0,25,2,-0.8,0,0,182.41202,625
2584,0,41.757,1,0,34,4,10.055,0,1,1743.6471,1156
2585,1,31.623,0,0,33,1,9.5,1,1,1000.0141,1089
2586,0,33.36,0,0,25,7,20.0,0,0,1112.8896,625
2587,0,26.985,1,0,42,4,3.199,0,0,728.19025,1764
2588,1,59.469,1,0,38,3,-2.9,0,0,3536.5623,1444
2589,1,48.78,1,0,40,2,-14.7,0,0,2379.4883,1600
2590,1,89.451,1,0,37,3,7.526,1,0,8001.481,1369
2591,0,15.645,0,1,36,1,3.399,0,1,244.76604,1296
2592,0,30.6,1,1,38,1,0.0,0,0,936.36005,1444
2593,0,54.6,0,0,52,4,49.7,0,1,2981.16,2704
2594,1,34.701,0,1,48,2,30.725,1,1,1204.1594,2304
2595,1,45.27,1,0,53,2,150.499,1,1,2049.373,2809
2596,0,10.2,0,0,44,3,0.0,0,0,104.03999,1936
2597,0,17.952,0,0,42,3,-8.3,0,0,322.2743,1764
2598,0,19.209,0,0,40,2,-0.65,0,0,368.98566,1600
2599,1,45.702,1,0,48,4,45.418,1,1,2088.6729,2304
2600,1,58.689,1,0,32,5,2.075,0,1,3444.3987,1024
2601,1,57.0,1,0,37,3,100.8,0,1,3249.0,1369
2602,0,59.172,1,0,33,5,-11.65,0,1,3501.3257,1089
2603,1,156.036,1,0,53,3,114.0,1,1,24347.232,2809
2604,1,57.603,0,1,54,1,36.8,1,0,3318.1057,2916
2605,1,50.157,1,0,46,3,-1.26,1,0,2515.7249,2116
2606,1,107.823,1,0,46,4,15.474,1,1,11625.799,2116
2607,0,24.795,1,0,38,3,0.0,0,0,614.79205,1444
2608,1,72.6,1,0,47,2,42.939,1,1,5270.76,2209
2609,1,35.7,1,0,33,6,-1.4,0,0,1274.4901,1089
2610,0,76.05,1,0,33,4,7.0,0,0,5783.603,1089
2611,0,102.744,1,0,62,3,170.0,0,1,10556.33,3844
2612,0,15.141,1,0,47,2,-9.6,0,0,229.24988,2209
2613,1,31.416,1,0,37,5,7.485,1,0,986.9651,1369
2614,0,26.55,1,0,37,2,60.015,0,0,704.90247,1369
2615,1,19.539,0,0,54,1,-1.1,0,0,381.7725,2916
2616,1,31.83,0,0,32,1,1.9,0,1,1013.14886,1024
2617,1,100.002,0,1,50,1,10.799,1,0,10000.399,2500
2618,1,45.87,1,0,38,2,5.581,1,0,2104.057,1444
2619,1,75.045,1,0,32,4,15.799,1,0,5631.752,1024
2620,1,74.556,1,0,35,2,38.355,1,1,5558.597,1225
2621,0,69.12,1,0,40,7,0.0,0,0,4777.5747,1600
2622,1,70.692,1,0,38,3,4.1,0,0,4997.359,1444
2623,1,103.08,1,0,43,3,132.1,1,0,10625.486,1849
2624,0,51.489,1,0,58,2,-5.0,0,0,2651.117,3364
2625,1,45.6,1,0,48,3,8.884,1,0,2079.3599,2304
2626,0,77.628,1,0,35,2,7.492,0,0,6026.106,1225
2627,1,40.488,1,0,38,4,-4.27,1,0,1639.2781,1444
2628,0,24.654,0,1,54,2,0.8,0,0,607.8197,2916
2629,1,20.964,0,0,30,4,2.182,1,0,439.48932,900
2630,0,41.04,0,1,41,1,0.0,0,0,1684.2816,1681
2631,0,30.417,1,1,42,4,7.36,0,1,925.19385,1764
2632,0,23.988,0,0,40,2,1.003,0,0,575.4242,1600
2633,0,29.661,0,0,27,1,1.77,0,1,879.7749,729
2634,1,43.425,1,1,33,5,30.2,1,0,1885.7306,1089
2635,0,17.814,1,0,42,3,-0.734,0,0,317.33856,1764
2636,0,34.542,1,0,55,4,12.0,0,0,1193.1498,3025
2637,1,31.176,0,0,49,1,-6.19,0,0,971.943,2401
2638,0,10.08,0,1,29,2,0.0,0,0,101.6064,841
2639,0,21.945,0,0,39,1,6.0,0,0,481.583,1521
2640,1,80.109,1,0,30,2,-0.251,0,0,6417.452,900
2641,1,103.05,1,1,42,4,94.0,1,0,10619.303,1764
2642,0,55.683,1,0,27,2,14.851,0,0,3100.5964,729
2643,1,27.015,0,0,31,1,-1.951,1,0,729.8102,961
2644,0,35.847,0,1,51,1,24.3,0,1,1285.0074,2601
2645,0,53.562,0,1,34,1,13.493,0,0,2868.888,1156
2646,1,61.377,1,0,39,5,8.4,1,0,3767.136,1521
2647,1,72.15,1,0,58,2,-87.501,0,0,5205.6226,3364
2648,0,24.84,1,0,32,3,0.392,0,0,617.02563,1024
2649,0,24.615,1,0,40,4,-11.4,0,0,605.8982,1600
2650,0,10.8,0,1,54,1,0.0,0,0,116.64001,2916
2651,0,21.372,1,0,64,3,5.599,0,0,456.76236,4096
2652,0,27.657,1,0,27,2,-3.725,0,0,764.9096,729
2653,1,27.684,0,1,38,3,2.075,0,0,766.4039,1444
2654,0,52.008,1,0,53,2,2.999,0,0,2704.832,2809
2655,0,12.636,1,0,36,7,-0.15,0,0,159.66849,1296
2656,1,46.008,1,1,51,5,-2.2,1,1,2116.736,2601
2657,1,36.375,0,0,54,1,27.5,1,0,1323.1406,2916
2658,1,26.877,0,1,30,1,5.25,1,0,722.37317,900
2659,1,15.159,0,0,28,2,1.183,1,1,229.79529,784
2660,1,58.5,1,0,52,3,100.7,1,1,3422.25,2704
2661,0,91.5,0,0,30,1,23.8,0,0,8372.25,900
2662,1,50.979,1,0,39,4,62.6,0,1,2598.8584,1521
2663,0,11.865,1,0,25,5,0.0,0,0,140.77821,625
2664,0,25.878,1,0,30,3,0.052,0,0,669.6709,900
2665,0,15.708,1,0,28,2,0.0,0,0,246.74127,784
2666,0,22.434,0,0,53,2,66.0,0,1,503.28436,2809
2667,1,43.23,0,1,26,1,8.7,1,0,1868.8329,676
2668,0,45.09,1,0,28,2,-4.3,0,0,2033.1082,784
2669,0,17.244,1,0,35,6,0.0,0,0,297.35553,1225
2670,0,31.752,1,1,36,5,-2.425,0,0,1008.1896,1296
2671,0,31.179,1,1,41,4,18.0,0,1,972.13007,1681
2672,0,30.84,1,1,44,3,-0.5,0,1,951.1056,1936
2673,0,32.964,1,0,37,4,-1.7,0,0,1086.6254,1369
2674,1,32.64,1,0,60,2,1.0,0,0,1065.3695,3600
2675,1,44.922,1,0,46,2,0.0,1,0,2017.9862,2116
2676,1,43.599,1,0,38,4,26.918,1,0,1900.8727,1444
2677,1,31.017,0,0,61,1,73.999,1,1,962.0543,3721
2678,1,25.26,0,0,27,1,3.842,1,0,638.0676,729
2679,1,52.404,1,0,32,4,6.25,1,1,2746.1792,1024
2680,0,32.295,1,0,31,4,0.652,0,0,1042.9669,961
2681,0,26.952,1,0,36,4,-1.05,0,0,726.4103,1296
2682,0,27.606,1,0,25,3,-6.95,0,0,762.0913,625
2683,0,42.33,1,0,31,4,8.599,0,0,1791.8291,961
2684,0,17.1,0,0,33,3,-1.25,0,0,292.41,1089
2685,0,28.605,1,1,46,2,-2.9,0,0,818.246,2116
2686,0,28.8,0,0,27,1,-9.5,0,0,829.43994,729
2687,0,41.856,1,0,25,3,7.0,0,0,1751.9247,625
2688,0,53.151,1,0,37,4,-0.307,0,1,2825.0288,1369
2689,0,36.06,1,0,51,3,0.9,0,0,1300.3237,2601
2690,0,50.037,1,0,42,4,2.13,0,0,2503.7012,1764
2691,1,69.786,0,1,51,3,50.0,1,1,4870.0864,2601
2692,0,73.71,1,0,43,2,131.35,0,1,5433.164,1849
2693,1,27.462,1,0,29,5,0.481,1,0,754.16144,841
2694,1,15.363,0,0,28,3,0.829,1,0,236.02176,784
2695,0,16.815,0,1,35,1,-0.3,0,0,282.74423,1225
2696,0,47.04,1,0,60,4,41.649,0,0,2212.7617,3600
2697,0,12.0,0,0,29,2,-2.0,0,0,144.0,841
2698,0,23.394,0,1,56,2,-4.888,0,0,547.2792,3136
2699,1,39.882,1,0,32,5,131.844,1,1,1590.574,1024
2700,0,10.2,0,0,28,2,0.0,0,0,104.03999,784
2701,1,39.9,0,1,42,2,17.5,1,0,1592.0101,1764
2702,0,22.848,0,1,52,1,0.3,0,0,522.03107,2704
2703,0,34.164,1,0,50,4,3.3,0,1,1167.179,2500
2704,1,63.24,1,0,46,2,4.15,1,1,3999.2979,2116
2705,1,85.2,1,0,60,2,53.0,0,1,7259.0396,3600
2706,1,25.95,0,0,51,4,16.571,1,1,673.4025,2601
2707,1,108.42,1,1,55,3,47.958,1,1,11754.896,3025
2708,1,41.439,0,1,37,1,28.361,1,0,1717.1907,1369
2709,0,106.62,1,1,47,2,134.584,0,1,11367.825,2209
2710,0,36.93,0,1,46,1,3.2,0,0,1363.825,2116
2711,0,28.56,0,0,27,1,-4.5,0,0,815.6736,729
2712,0,85.065,1,0,46,4,-1.025,0,0,7236.0547,2116
2713,1,42.06,0,1,38,1,0.3,0,0,1769.0437,1444
2714,0,25.626,1,0,38,4,0.0,0,0,656.69183,1444
2715,0,28.53,1,0,28,3,-8.388,0,1,813.96094,784
2716,1,23.259,1,0,39,4,-1.907,1,0,540.98114,1521
2717,0,22.5,0,1,44,1,20.0,0,0,506.25,1936
2718,0,16.86,0,1,27,1,2.924,0,0,284.2596,729
2719,0,50.634,1,1,40,3,4.1,0,1,2563.8018,1600
2720,0,24.174,0,1,44,1,-3.4,0,0,584.38226,1936
2721,0,13.32,0,1,26,1,4.55,0,0,177.4224,676
2722,0,25.803,1,0,31,5,-0.1,0,0,665.7948,961
2723,0,32.082,0,1,31,1,-1.4,0,0,1029.2548,961
2724,1,44.292,1,0,51,8,1.905,1,0,1961.7812,2601
2725,1,36.03,0,1,29,1,2.6,0,0,1298.1608,841
2726,0,16.284,0,0,49,1,1.5,0,0,265.16867,2401
2727,0,16.269,1,0,50,5,1.3,0,0,264.68033,2500
2728,0,18.15,1,1,25,5,0.0,0,0,329.4225,625
2729,0,36.798,1,0,64,2,0.4,0,0,1354.0928,4096
2730,0,47.154,1,0,31,3,10.7,0,0,2223.4998,961
2731,1,73.086,1,0,48,3,260.872,1,1,5341.563,2304
2732,1,32.739,0,0,33,3,4.847,1,0,1071.842,1089
2733,0,10.803,0,1,30,1,0.02,0,0,116.70482,900
2734,0,21.813,1,0,25,4,-2.71,0,0,475.80695,625
2735,0,29.772,1,0,30,4,0.2,0,0,886.37195,900
2736,1,24.54,1,0,50,4,24.21,1,0,602.2117,2500
2737,0,30.429,1,0,62,2,13.239,0,0,925.9241,3844
2738,0,37.533,1,0,34,2,5.0,0,0,1408.7262,1156
2739,0,39.882,1,0,29,4,-3.001,0,0,1590.574,841
2740,0,33.228,1,0,62,2,0.0,0,0,1104.1,3844
2741,0,36.648,1,0,51,3,-0.775,0,0,1343.0758,2601
2742,1,59.7,1,0,39,3,20.0,0,0,3564.09,1521
2743,0,36.3,0,1,29,1,9.499,0,0,1317.69,841
2744,1,37.833,1,0,49,3,-0.758,1,0,1431.3359,2401
2745,0,37.236,1,0,25,3,0.13,0,1,1386.5197,625
2746,0,25.254,1,0,45,6,7.798,0,0,637.7645,2025
2747,0,97.752,1,0,35,3,30.999,0,1,9555.453,1225
2748,1,89.964,1,0,51,3,77.0,1,1,8093.5205,2601
2749,1,24.546,0,0,42,2,18.5,1,0,602.5061,1764
2750,1,30.264,0,0,25,1,29.759,1,0,915.90967,625
2751,1,41.724,1,0,32,2,-1.565,1,0,1740.8921,1024
2752,0,49.356,1,0,41,4,3.3,0,1,2436.0146,1681
2753,0,16.578,0,1,49,1,0.0,0,0,274.83005,2401
2754,0,17.136,1,0,36,3,-4.0,0,0,293.6425,1296
2755,0,42.759,1,0,50,4,17.565,0,1,1828.332,2500
2756,1,16.092,0,1,37,4,-0.655,0,0,258.95242,1369
2757,1,69.87,1,0,50,4,37.699,1,1,4881.8174,2500
2758,0,22.2,0,0,50,1,2.399,0,0,492.84003,2500
2759,1,64.137,1,1,28,4,2.08,1,0,4113.5547,784
2760,0,36.84,1,0,42,4,0.318,0,0,1357.1857,1764
2761,0,22.08,0,0,26,3,0.0,0,0,487.5264,676
2762,0,14.676,1,0,57,2,1.351,0,1,215.38496,3249
2763,0,28.65,1,0,40,4,15.0,0,1,820.82245,1600
2764,0,24.993,0,1,33,1,0.0,0,0,624.65,1089
2765,1,50.619,0,1,37,1,12.5,0,1,2562.2832,1369
2766,0,55.074,1,1,46,6,37.24,0,0,3033.1455,2116
2767,0,60.36,1,0,40,3,91.999,0,1,3643.3296,1600
2768,1,63.885,1,0,37,4,13.485,1,0,4081.293,1369
2769,0,23.883,0,0,47,3,2.499,0,0,570.39764,2209
2770,0,23.004,1,0,59,4,0.1,0,0,529.184,3481
2771,0,23.4,0,0,33,3,-0.44,0,0,547.56,1089
2772,0,26.055,1,0,63,2,30.1,0,1,678.86304,3969
2773,1,44.4,0,1,47,3,24.4,1,0,1971.3601,2209
2774,0,33.726,1,0,46,4,-11.501,0,0,1137.4432,2116
2775,0,16.14,1,0,39,5,-0.31,0,0,260.49957,1521
2776,0,103.449,1,0,61,2,12.434,0,1,10701.695,3721
2777,1,51.732,1,0,50,4,18.175,1,1,2676.1997,2500
2778,0,12.471,0,1,41,1,0.0,0,0,155.52583,1681
2779,0,15.432,0,1,41,1,2.2,0,0,238.14662,1681
2780,0,52.29,1,0,36,4,18.85,0,1,2734.2441,1296
2781,1,28.425,0,1,39,1,0.4,0,0,807.9806,1521
2782,0,34.2,0,1,27,1,5.009,0,0,1169.64,729
2783,0,11.856,0,1,46,1,6.807,0,0,140.56473,2116
2784,1,30.897,0,0,28,2,-8.69,1,0,954.6246,784
2785,0,79.023,1,0,49,4,87.996,0,1,6244.635,2401
2786,0,27.225,0,1,31,1,0.0,0,0,741.2006,961
2787,1,26.925,0,0,48,4,19.949,0,1,724.95557,2304
2788,1,21.63,0,0,35,1,2.999,1,0,467.85687,1225
2789,1,46.2,0,1,34,1,16.05,1,1,2134.4402,1156
2790,1,65.262,1,0,42,4,39.65,1,1,4259.129,1764
2791,0,48.288,0,1,28,1,3.3,0,0,2331.7307,784
2792,1,53.55,1,0,30,2,81.27,1,0,2867.6025,900
2793,1,34.29,1,0,48,2,131.408,1,1,1175.8042,2304
2794,1,39.915,0,1,35,1,-1.034,1,0,1593.2073,1225
2795,0,49.434,1,0,31,2,-0.2,0,0,2443.7202,961
2796,0,22.698,0,0,34,3,-2.3,0,0,515.1992,1156
2797,0,20.28,1,1,36,5,-0.7,0,0,411.27844,1296
2798,0,24.309,1,0,26,3,0.1,0,0,590.9275,676
2799,0,24.0,0,0,32,3,-0.98,0,0,576.0,1024
2800,0,116.262,1,0,42,4,3.2,0,0,13516.853,1764
2801,0,23.85,0,1,57,1,6.799,0,1,568.8225,3249
2802,1,48.162,1,0,28,3,-4.15,0,0,2319.5781,784
2803,0,22.551,1,0,60,5,0.008,0,0,508.54764,3600
2804,1,61.866,1,0,49,5,0.44,0,0,3827.402,2401
2805,0,20.94,1,0,40,7,0.09,0,0,438.4836,1600
2806,0,80.439,1,0,41,2,-31.845,0,0,6470.433,1681
2807,0,18.573,1,0,34,5,-0.98,0,0,344.95633,1156
2808,0,51.15,0,1,47,1,26.5,0,1,2616.3228,2209
2809,1,52.503,1,0,44,4,3.7,1,0,2756.565,1936
2810,1,64.044,0,1,40,2,2.427,1,0,4101.634,1600
2811,1,32.865,1,0,37,3,24.1,1,1,1080.1083,1369
2812,1,36.87,1,0,44,4,-5.975,0,0,1359.3969,1936
2813,0,48.9,1,1,27,3,-2.45,0,0,2391.2102,729
2814,1,39.996,1,0,32,5,6.05,1,1,1599.6799,1024
2815,1,55.779,0,1,46,1,23.167,1,0,3111.2969,2116
2816,1,53.598,1,1,28,2,-0.069,1,0,2872.7456,784
2817,0,52.806,1,0,61,3,69.87,0,1,2788.4736,3721
2818,0,17.7,0,1,30,1,-2.06,0,0,313.29004,900
2819,0,18.09,0,1,26,1,3.35,0,0,327.2481,676
2820,0,56.994,1,0,40,3,1.0,0,0,3248.316,1600
2821,1,61.158,1,0,50,2,295.136,1,1,3740.301,2500
2822,1,15.318,1,0,50,4,0.249,0,0,234.64111,2500
2823,1,44.778,0,0,53,1,65.5,1,0,2005.0692,2809
2824,1,47.7,1,0,59,6,12.0,0,0,2275.29,3481
2825,0,38.721,1,0,49,2,47.359,0,0,1499.3159,2401
2826,1,21.75,0,0,51,2,14.6,1,0,473.0625,2601
2827,0,84.6,1,0,50,7,8.1,0,0,7157.1597,2500
2828,0,20.418,0,1,26,1,0.07,0,0,416.89468,676
2829,0,33.855,1,0,38,4,-4.24,0,0,1146.161,1444
2830,0,43.875,0,0,34,3,12.2,0,0,1925.0156,1156
2831,1,51.234,1,0,50,2,4.999,0,1,2624.9229,2500
2832,0,59.544,1,0,31,4,-0.35,0,0,3545.4878,961
2833,0,55.419,1,0,38,5,31.402,0,1,3071.2654,1444
2834,0,29.946,1,0,37,4,0.15,0,0,896.7629,1369
2835,0,11.898,0,0,49,2,0.0,0,0,141.5624,2401
2836,0,69.693,1,1,41,4,52.9,0,1,4857.1143,1681
2837,0,12.24,0,0,50,2,-3.5,0,0,149.8176,2500
2838,0,10.992,0,0,49,2,0.269,0,0,120.82406,2401
2839,0,31.44,1,0,28,4,-9.84,0,0,988.47363,784
2840,0,20.229,1,0,31,4,-3.0,0,0,409.21243,961
2841,0,23.49,0,0,43,1,0.31,0,0,551.7801,1849
2842,1,18.744,0,1,35,1,-0.5,1,0,351.33752,1225
2843,0,30.96,1,0,56,3,0.0,0,0,958.52155,3136
2844,0,17.919,1,0,26,4,-9.5,0,0,321.09058,676
2845,1,75.603,1,0,35,4,5.518,0,0,5715.813,1225
2846,1,28.539,1,0,45,3,1.953,1,0,814.4745,2025
2847,0,29.898,1,0,43,4,3.172,0,1,893.89044,1849
2848,1,73.614,1,0,60,2,90.762,1,0,5419.021,3600
2849,0,34.488,1,1,36,5,1.14,0,0,1189.4221,1296
2850,0,11.7,0,1,33,1,-0.157,0,0,136.89,1089
2851,1,44.838,1,1,47,3,0.828,1,0,2010.4464,2209
2852,0,49.788,1,0,62,2,207.75,0,1,2478.8447,3844
2853,1,43.05,1,0,37,5,6.999,1,0,1853.3025,1369
2854,0,38.538,1,0,41,4,1.059,0,0,1485.1772,1681
2855,0,12.555,0,1,57,1,8.0,0,0,157.62804,3249
2856,0,10.947,1,0,64,2,-4.2,0,0,119.8368,4096
2857,0,17.616,0,0,45,1,-2.48,0,0,310.32343,2025
2858,0,15.144,0,0,46,3,-3.25,0,0,229.34074,2116
2859,1,14.532,1,1,26,3,2.6,1,0,211.17902,676
2860,1,16.392,1,0,39,4,-1.55,0,0,268.69766,1521
2861,0,34.089,1,0,58,4,17.139,0,0,1162.0599,3364
2862,1,19.302,0,1,36,1,-0.377,1,0,372.5672,1296
2863,1,30.294,0,0,56,6,-0.3,1,0,917.7265,3136
2864,0,20.91,1,0,53,5,-0.8,0,0,437.2281,2809
2865,1,17.244,1,0,42,3,1.05,1,0,297.35553,1764
2866,1,55.908,1,0,30,2,8.1,1,0,3125.7046,900
2867,1,21.921,1,0,27,4,-5.55,1,0,480.5302,729
2868,0,12.291,0,0,34,1,0.025,0,0,151.0687,1156
2869,0,12.642,0,0,64,2,0.9,0,0,159.82018,4096
2870,0,47.292,0,1,47,1,58.5,0,0,2236.5332,2209
2871,0,40.77,1,0,61,2,0.0,0,0,1662.193,3721
2872,0,10.542,1,0,47,2,-57.2,0,0,111.13376,2209
2873,1,21.273,0,1,44,1,-1.251,0,0,452.54056,1936
2874,1,30.654,1,0,41,3,-0.001,0,0,939.66766,1681
2875,1,15.0,1,0,47,6,0.4,1,0,225.0,2209
2876,1,33.573,1,0,54,2,-0.531,0,0,1127.1465,2916
2877,0,18.942,0,0,37,4,0.0,0,0,358.79935,1369
2878,1,68.76,1,0,54,5,25.7,1,0,4727.938,2916
2879,0,29.82,1,0,51,2,14.4,0,0,889.23236,2601
2880,0,31.512,0,1,54,2,100.0,0,1,993.0061,2916
2881,0,104.919,1,1,64,2,-3.404,0,1,11007.996,4096
2882,1,34.488,1,0,45,4,61.788,1,0,1189.4221,2025
2883,0,41.805,1,0,38,4,16.075,0,0,1747.6581,1444
2884,0,36.693,1,0,30,4,7.049,0,0,1346.3763,900
2885,0,48.111,1,0,30,3,11.999,0,0,2314.6682,900
2886,0,13.74,0,0,38,3,7.3,0,0,188.7876,1444
2887,0,30.6,0,1,26,1,0.0,0,0,936.36005,676
2888,0,37.83,1,0,52,2,-0.112,0,0,1431.109,2704
2889,1,155.415,1,0,44,3,-283.356,1,1,24153.82,1936
2890,0,20.418,1,1,31,4,-0.959,0,0,416.89468,961
2891,0,23.1,0,0,44,1,-0.775,0,0,533.61005,1936
2892,0,126.75,1,0,40,3,22.474,0,1,16065.5625,1600
2893,0,22.692,0,0,44,1,0.199,0,0,514.9268,1936
2894,0,31.692,1,1,62,2,13.828,0,1,1004.3828,3844
2895,0,18.6,1,0,63,2,1.488,0,0,345.96002,3969
2896,0,32.634,0,0,52,5,61.01,0,0,1064.9779,2704
2897,0,12.003,0,0,37,1,0.059,0,0,144.07202,1369
2898,1,93.12,1,0,32,3,-1.6,1,0,8671.335,1024
2899,0,21.96,0,1,33,1,0.0,0,0,482.24155,1089
2900,0,14.292,0,0,57,1,0.173,0,0,204.26126,3249
2901,0,12.264,0,0,32,2,0.0,0,0,150.4057,1024
2902,0,17.616,0,0,64,1,6.65,0,1,310.32343,4096
2903,0,47.802,1,0,47,6,2.5,0,0,2285.031,2209
2904,0,12.24,1,1,40,4,0.0,0,0,149.8176,1600
2905,1,79.92,1,1,43,4,49.85,0,1,6387.206,1849
2906,0,93.612,1,0,41,5,-3.2,0,0,8763.206,1681
2907,0,15.834,1,1,32,5,0.0,0,0,250.71555,1024
2908,0,22.872,1,1,53,6,9.885,0,0,523.12836,2809
2909,1,50.94,1,0,54,3,-25.0,0,0,2594.8835,2916
2910,0,38.4,1,0,40,4,6.5,0,0,1474.56,1600
2911,1,42.771,0,1,29,1,5.48,1,0,1829.3584,841
2912,0,25.248,0,1,59,2,84.4,0,1,637.4615,3481
2913,0,32.703,0,0,41,1,-3.775,0,0,1069.4862,1681
2914,1,36.492,1,0,26,4,4.7,1,1,1331.6661,676
2915,1,30.846,0,0,48,1,-2.765,1,0,951.47577,2304
2916,1,20.46,1,0,30,2,8.099,1,0,418.61157,900
2917,0,29.82,1,0,30,4,-5.77,0,0,889.23236,900
2918,0,118.599,1,0,36,4,-5.989,0,0,14065.723,1296
2919,1,44.43,1,0,38,6,0.869,1,0,1974.0249,1444
2920,0,19.416,0,0,38,2,4.5,0,0,376.98108,1444
2921,1,54.33,0,0,43,2,80.0,1,1,2951.749,1849
2922,0,39.78,1,1,32,3,1.0,0,0,1582.4482,1024
2923,1,47.658,1,0,36,3,-7.575,1,1,2271.2852,1296
2924,0,33.219,1,0,58,4,7.6,0,0,1103.5021,3364
2925,0,50.397,1,0,45,2,-4.751,0,0,2539.8577,2025
2926,0,48.45,1,0,52,4,0.095,0,0,2347.4026,2704
2927,1,76.899,1,0,54,2,361.99,1,1,5913.4565,2916
2928,0,22.473,0,0,43,1,-1.751,0,0,505.0357,1849
2929,0,60.81,1,0,31,4,3.0,0,0,3697.8562,961
2930,0,33.651,0,1,26,1,16.999,0,0,1132.3899,676
2931,1,49.272,1,0,54,2,67.1,1,1,2427.73,2916
2932,1,28.131,0,0,38,3,4.339,0,0,791.3532,1444
2933,0,26.424,1,0,64,3,-0.5,0,0,698.2278,4096
2934,0,40.392,1,0,36,6,2.7,0,1,1631.5135,1296
2935,0,21.012,0,1,35,1,0.8,0,0,441.50412,1225
2936,0,17.52,1,0,27,4,1.0,0,0,306.9504,729
