,age,work,study,econhs,colgpa,hsgpa,acteng,actmth,act,mathscr,male,calculus,attexc,attgood,fathcoll,mothcoll,score
263,19,0.0,25.0,0,3.5161,3.763,24.0,31.0,30.0,9,1,0,1,0,0,1,94.26
264,19,0.0,12.0,0,1.9807,3.241,26.0,26.0,25.0,9,1,1,0,1,1,1,82.79
265,19,18.0,10.0,1,2.7777,3.367,23.0,22.0,24.0,8,1,1,0,1,1,1,77.87
266,20,0.0,15.0,0,2.1818,3.605,27.0,28.0,28.0,10,1,1,0,1,0,1,66.39
267,19,0.0,25.0,1,2.4677,3.31,23.0,22.0,24.0,8,0,0,0,1,0,0,68.85
268,19,12.5,42.5,0,2.3125,3.342,20.0,22.0,20.0,8,0,1,0,1,1,1,69.67
269,19,20.0,12.0,1,1.9137,2.895,15.0,19.0,17.0,9,1,0,1,0,1,1,63.11
270,18,13.0,24.0,0,3.9482,3.911,27.0,26.0,26.0,10,0,1,1,0,0,0,93.44
271,19,8.0,15.0,1,3.4833,3.953,18.0,22.0,19.0,9,1,1,1,0,0,0,83.61
272,19,12.0,5.5,0,3.6333,3.51,27.0,27.0,28.0,10,1,1,1,0,1,1,84.43
273,18,0.0,7.0,0,3.7083,3.697,27.0,27.0,26.0,10,1,1,0,1,1,1,86.07
274,19,30.0,8.0,0,3.2321,3.639,29.0,25.0,27.0,8,0,1,1,0,0,0,86.89
275,19,16.0,0.0,0,2.8928,3.138,17.0,19.0,18.0,9,1,1,1,0,1,1,63.93
276,18,0.0,14.0,0,2.574,3.08,20.0,20.0,20.0,4,0,0,1,0,0,1,50.0
277,18,15.0,12.5,0,2.7586,3.368,22.0,23.0,22.0,10,0,1,0,1,1,1,73.77
278,20,0.0,27.5,0,3.5,3.88,22.0,28.0,20.0,8,1,1,1,0,0,1,82.79
279,19,17.5,12.5,0,2.25,3.555,20.0,24.0,24.0,10,1,1,1,0,1,0,68.85
280,19,0.0,20.0,0,1.4666,3.15,24.0,19.0,22.0,6,1,0,0,1,1,1,46.72
281,19,0.0,5.0,0,3.0,3.277,22.0,24.0,23.0,8,0,0,0,1,1,1,77.05
282,19,0.0,14.0,1,3.0,2.833,22.0,25.0,23.0,8,1,1,1,0,0,1,77.05
283,19,0.0,10.0,0,2.625,3.431,20.0,22.0,20.0,7,1,0,0,1,0,1,65.57
284,19,11.0,12.0,0,2.2222,2.99,23.0,19.0,22.0,8,1,0,0,0,0,0,76.23
285,19,27.0,11.0,0,3.0,3.28,24.0,24.0,26.0,8,1,1,0,1,0,0,75.41
286,19,15.0,15.0,1,2.4,2.855,18.0,25.0,19.0,9,0,1,0,1,0,1,63.93
287,19,8.0,5.0,0,2.94,3.963,34.0,30.0,33.0,10,0,1,0,1,0,1,72.13
288,18,12.5,10.0,0,3.2758,3.56,25.0,23.0,25.0,8,0,0,1,0,0,0,75.41
289,19,17.5,7.0,0,2.8518,3.194,23.0,23.0,24.0,10,1,0,0,1,1,1,62.3
290,19,0.0,25.0,0,3.4629,3.694,25.0,23.0,26.0,9,0,1,0,1,1,1,77.05
291,19,0.0,25.0,1,1.3043,3.315,20.0,17.0,20.0,4,1,0,0,1,0,0,45.08
292,19,10.0,12.0,0,3.0862,3.549,26.0,27.0,26.0,7,1,1,0,1,0,1,83.61
293,19,0.0,10.0,0,3.2096,3.61,23.0,26.0,23.0,9,0,1,0,1,0,1,77.05
294,19,11.0,12.0,1,2.7069,3.695,24.0,24.0,24.0,7,0,1,0,1,0,1,66.39
295,18,4.5,17.5,0,3.2222,3.458,27.0,25.0,28.0,9,0,1,0,1,0,1,72.95
296,20,10.0,6.0,0,2.625,3.46,20.0,23.0,24.0,6,1,1,0,0,0,1,80.33
297,18,18.0,16.0,1,2.0757,3.761,25.0,30.0,25.0,4,0,1,1,0,0,0,94.26
298,19,0.0,10.0,0,3.0892,3.416,29.0,27.0,26.0,9,1,1,0,1,0,1,73.77
299,18,20.0,20.0,0,3.5666,3.542,29.0,28.0,26.0,7,0,1,1,0,1,1,86.89
300,19,16.0,10.0,0,1.8076,3.61,22.0,20.0,21.0,10,1,1,0,1,0,0,72.95
301,19,13.5,7.5,1,2.0178,3.538,19.0,20.0,22.0,5,0,0,0,1,0,0,61.48
302,19,18.0,5.0,0,2.8214,3.394,21.0,22.0,25.0,9,1,1,0,1,1,1,64.75
303,19,0.0,15.0,0,2.5714,3.445,24.0,20.0,24.0,6,0,1,0,1,0,1,58.2
304,19,0.0,37.5,0,3.2419,3.48,23.0,25.0,24.0,6,0,1,0,1,1,1,67.21
305,19,0.0,37.5,0,2.8518,3.185,20.0,18.0,20.0,9,0,0,0,1,0,1,65.57
306,19,0.0,12.0,1,2.8103,3.236,18.0,26.0,20.0,9,0,0,0,1,0,1,72.13
307,19,20.0,17.0,1,3.375,3.98,21.0,29.0,24.0,10,1,1,0,1,1,1,86.07
308,19,0.0,20.0,1,3.5178,3.797,24.0,20.0,25.0,9,1,1,0,1,0,1,86.07
309,19,8.0,8.0,1,2.5,3.4,22.0,20.0,21.0,9,0,0,1,0,0,0,57.38
310,19,12.0,15.0,0,2.3035,2.97,21.0,16.0,20.0,10,1,0,0,1,1,1,75.41
311,20,0.0,17.5,0,3.2069,3.343,24.0,22.0,22.0,8,1,1,1,0,1,1,86.07
312,19,20.0,22.5,0,2.9285,3.2,,,,10,1,1,0,1,0,0,61.48
313,19,8.0,10.0,0,3.1428,2.99,20.0,16.0,20.0,8,1,1,0,1,0,1,77.05
314,19,0.0,17.5,0,2.4642,3.058,21.0,23.0,22.0,8,0,1,0,1,1,1,75.41
315,19,0.0,24.0,1,1.931,2.48,21.0,17.0,19.0,7,0,0,0,1,0,1,45.9
316,19,14.0,15.0,1,2.6551,3.379,27.0,27.0,27.0,10,1,1,0,1,1,1,73.77
317,19,10.0,20.0,1,3.2419,3.11,,,,9,1,1,1,0,1,1,72.13
318,19,0.0,25.0,0,3.0344,3.369,,,,10,1,1,0,1,1,1,92.62
319,19,0.0,12.0,1,2.4583,2.567,21.0,19.0,21.0,6,1,1,1,0,1,1,73.77
320,19,16.0,25.0,0,2.8387,3.42,22.0,32.0,27.0,9,1,1,0,1,0,1,76.23
321,19,10.0,17.5,1,2.1296,3.1,25.0,22.0,23.0,8,1,1,0,1,1,1,72.13
322,19,0.0,15.0,0,3.3148,3.417,20.0,22.0,21.0,8,1,0,0,1,1,0,86.89
323,19,0.0,5.0,1,2.6538,2.848,20.0,24.0,22.0,8,1,1,0,1,1,1,76.23
324,19,10.0,17.5,0,3.5344,3.439,22.0,23.0,23.0,8,0,1,1,0,0,0,87.7
325,19,0.0,20.0,1,3.52,4.016,25.0,29.0,29.0,8,1,0,0,1,1,1,85.25
326,19,17.5,12.5,0,2.5714,3.92,28.0,30.0,28.0,9,0,1,0,1,0,0,69.67
327,19,32.5,10.0,0,3.0,3.443,22.0,24.0,20.0,9,0,1,1,0,1,0,62.3
328,19,20.0,10.0,1,3.0147,3.678,27.0,24.0,25.0,9,0,1,0,1,1,1,86.89
329,20,11.0,10.0,1,2.5714,3.192,20.0,20.0,22.0,4,0,0,0,1,1,1,61.48
330,19,0.0,5.0,0,2.8103,3.333,22.0,28.0,27.0,10,1,0,0,1,0,1,71.31
331,19,10.0,15.0,0,3.0185,2.671,22.0,18.0,19.0,9,0,0,0,1,0,1,68.03
332,19,0.0,10.0,0,2.8958,2.889,18.0,18.0,18.0,4,0,1,0,1,1,1,77.87
333,19,15.0,43.0,1,3.6911,3.87,24.0,26.0,25.0,10,0,1,1,0,1,0,86.89
334,19,0.0,20.0,0,2.85,3.305,22.0,30.0,25.0,10,1,1,0,1,1,0,64.75
335,19,0.0,20.0,0,3.3448,3.445,22.0,20.0,21.0,6,0,0,1,0,1,1,85.25
336,19,11.0,5.0,0,3.8461,3.56,28.0,25.0,27.0,10,1,1,1,0,0,0,84.43
337,19,10.0,8.0,0,2.4107,3.153,24.0,20.0,22.0,7,1,1,0,1,0,1,83.61
338,19,12.5,5.0,0,3.106,3.222,18.0,21.0,20.0,6,0,1,1,0,0,1,74.59
339,19,0.0,12.5,0,2.5535,3.027,22.0,24.0,25.0,9,0,1,0,1,1,1,72.95
340,19,0.0,12.0,1,3.2941,3.489,22.0,21.0,23.0,8,0,1,0,1,1,0,80.33
341,19,17.5,20.0,0,3.2241,3.282,20.0,18.0,22.0,8,0,1,0,1,0,1,73.77
342,19,0.0,30.0,0,1.75,2.903,24.0,24.0,24.0,7,1,0,0,1,1,1,70.49
343,19,20.0,20.0,0,2.7321,3.138,20.0,23.0,22.0,8,1,1,0,1,0,0,62.3
344,19,12.0,7.0,0,2.85,3.276,20.0,20.0,19.0,8,1,1,1,0,0,0,78.69
345,19,0.0,10.0,0,1.8448,3.117,19.0,20.0,23.0,6,1,1,0,1,1,1,40.16
346,19,10.0,10.0,0,3.1785,3.636,22.0,22.0,23.0,8,1,1,1,0,0,1,83.61
347,19,0.0,15.0,0,3.0555,3.51,22.0,20.0,22.0,8,0,1,0,1,1,0,87.7
348,19,10.0,10.0,0,3.0,3.605,27.0,30.0,27.0,9,1,1,0,1,0,1,75.41
349,19,6.0,3.0,1,2.3571,3.044,19.0,27.0,22.0,9,1,0,0,1,0,0,61.48
350,20,20.0,7.5,0,2.9827,3.121,22.0,29.0,26.0,10,0,1,0,1,1,1,72.95
351,19,0.0,3.0,0,2.4791,3.01,23.0,31.0,28.0,10,1,1,0,1,0,1,76.23
352,18,0.0,10.0,0,2.6666,3.06,26.0,22.0,21.0,6,1,0,0,1,0,1,59.84
353,19,0.0,10.0,1,2.04,3.34,17.0,17.0,20.0,8,0,0,0,1,0,1,60.66
354,19,0.0,6.0,1,2.8571,3.343,28.0,26.0,27.0,8,1,1,0,1,1,1,90.16
355,19,0.0,5.0,0,2.6034,2.982,16.0,21.0,20.0,8,1,1,0,1,1,1,67.21
356,19,0.0,28.0,0,3.8035,3.927,17.0,27.0,23.0,8,0,1,1,0,0,1,86.89
357,18,0.0,22.5,0,2.25,3.5,22.0,18.0,20.0,8,1,1,1,0,1,1,68.85
358,19,29.0,10.0,1,1.4074,2.611,17.0,18.0,16.0,7,1,0,0,0,0,1,46.72
359,19,12.0,6.0,0,2.7142,3.104,28.0,24.0,30.0,8,1,1,0,1,0,1,63.11
360,19,0.0,5.0,0,2.4666,3.265,,,,8,1,1,0,1,0,1,49.18
361,19,13.0,11.0,0,3.1875,3.635,25.0,24.0,26.0,9,1,1,0,1,0,1,86.89
362,19,0.0,14.0,1,2.3666,3.065,22.0,20.0,21.0,7,0,1,1,0,0,1,55.74
363,19,0.0,7.0,0,1.923,2.95,22.0,21.0,22.0,8,1,0,0,1,1,1,71.31
364,19,0.0,10.0,1,2.25,3.058,23.0,17.0,21.0,5,0,0,0,0,1,1,53.28
365,19,0.0,14.0,1,2.3478,2.978,23.0,19.0,22.0,8,1,1,1,0,0,0,75.41
366,18,0.0,15.0,0,3.6724,3.26,19.0,20.0,19.0,8,0,0,0,1,0,1,72.13
367,19,4.0,7.0,1,3.1034,3.667,21.0,24.0,23.0,9,1,1,0,1,1,1,73.77
368,19,10.0,30.0,0,3.4464,3.503,22.0,20.0,22.0,7,0,0,1,0,1,1,60.66
369,19,0.0,25.0,0,3.9285,3.972,24.0,26.0,26.0,9,1,1,1,0,1,0,95.08
370,19,0.0,10.0,0,2.4814,3.324,25.0,20.0,22.0,8,0,0,0,1,0,0,63.93
371,19,0.0,27.5,1,2.9189,3.394,22.0,22.0,25.0,8,0,1,1,0,1,1,60.66
372,19,0.0,20.0,0,2.0192,3.171,21.0,22.0,23.0,9,1,1,0,1,0,0,56.56
373,19,0.0,27.5,0,3.58,3.256,24.0,18.0,23.0,7,0,0,0,1,1,1,68.85
374,19,0.0,11.0,0,2.8035,3.26,20.0,23.0,25.0,8,1,1,0,1,1,1,78.69
375,19,0.0,15.0,1,2.75,3.727,,,,7,0,1,0,0,1,1,56.56
376,19,0.0,10.0,1,2.0909,3.531,27.0,21.0,23.0,7,1,0,0,1,1,1,71.31
377,19,0.0,10.0,0,2.8035,2.885,20.0,24.0,23.0,9,1,1,1,0,0,1,77.87
378,19,32.5,7.5,1,3.2069,3.69,23.0,23.0,22.0,7,0,0,1,0,0,1,77.87
379,19,0.0,3.0,1,2.9821,3.715,23.0,24.0,23.0,5,1,0,0,0,0,1,68.85
380,19,0.0,15.0,0,2.4464,3.14,28.0,22.0,24.0,5,1,1,1,0,0,0,56.56
381,19,5.0,21.0,0,3.3653,3.675,30.0,21.0,26.0,7,0,0,0,1,0,1,76.23
382,19,12.0,12.0,0,2.14,2.885,21.0,19.0,21.0,7,0,0,0,1,1,1,72.13
383,19,14.0,17.5,1,2.875,3.536,20.0,19.0,21.0,5,1,1,0,0,1,0,56.56
384,19,12.5,27.5,0,2.6333,2.92,,,,0,0,0,0,1,1,1,85.25
385,19,7.0,12.5,0,3.7424,3.972,28.0,33.0,31.0,8,1,1,0,1,1,1,94.26
386,19,0.0,10.0,0,2.3333,3.593,20.0,22.0,21.0,9,0,1,0,0,1,1,74.59
387,19,20.0,5.0,0,3.3871,3.157,25.0,25.0,27.0,9,0,0,0,1,1,1,72.13
388,19,0.0,7.0,0,2.84,3.194,25.0,24.0,22.0,6,1,1,0,1,1,1,69.67
389,19,0.0,15.0,0,2.7916,2.914,,,,5,1,0,0,1,0,1,75.41
390,19,0.0,10.0,0,3.3906,3.3,,,,9,0,1,0,1,0,1,74.59
391,19,0.0,25.0,1,3.0357,3.053,20.0,20.0,18.0,7,0,1,1,0,1,1,67.21
392,19,27.0,10.0,1,1.9464,3.194,24.0,28.0,25.0,10,1,1,0,0,1,0,71.31
393,19,0.0,6.5,1,2.6111,3.23,21.0,20.0,21.0,8,0,1,0,1,0,1,59.02
394,19,10.0,15.0,1,3.7321,3.865,24.0,26.0,25.0,10,0,1,1,0,0,0,83.61
395,19,0.0,4.0,1,2.9305,3.151,,,,6,0,0,0,0,1,1,78.69
396,19,0.0,12.0,1,3.2758,2.38,20.0,19.0,20.0,6,1,0,0,1,0,0,80.33
397,19,0.0,20.0,0,2.6666,3.558,28.0,24.0,25.0,9,0,1,0,1,1,1,59.02
398,19,0.0,10.0,0,2.3333,3.286,,,,8,0,0,0,1,1,1,60.66
399,19,9.0,15.0,1,2.0689,3.47,23.0,18.0,22.0,5,0,0,0,1,0,0,71.31
400,19,29.0,30.0,1,3.0357,3.65,,,,10,0,1,0,1,0,0,44.26
401,19,6.5,9.0,0,1.8928,2.878,14.0,22.0,17.0,6,1,1,0,1,0,0,61.48
402,19,0.0,17.5,1,1.6956,3.111,27.0,26.0,25.0,7,1,0,0,1,1,1,72.95
403,19,0.0,10.0,0,2.75,2.891,21.0,19.0,21.0,9,0,1,0,1,1,1,58.2
404,19,15.0,10.0,0,2.9166,3.629,,,,8,0,0,0,1,1,0,71.31
405,19,0.0,25.0,0,3.74,3.942,,,,10,0,1,1,0,0,1,90.16
406,19,0.0,10.0,1,3.1666,3.405,25.0,22.0,24.0,8,1,0,0,1,1,1,80.33
407,19,7.0,10.0,0,2.66,3.125,21.0,23.0,21.0,5,1,1,1,0,0,1,75.41
408,19,0.0,15.0,0,2.6666,2.76,17.0,26.0,22.0,10,1,1,1,0,1,1,67.21
409,19,21.0,20.0,0,2.94,3.428,21.0,27.0,22.0,8,0,1,0,1,0,0,84.43
410,19,6.0,18.0,0,2.6724,2.864,27.0,22.0,26.0,5,0,0,0,0,1,0,46.72
411,18,35.0,6.0,0,2.4827,2.657,20.0,20.0,20.0,6,0,0,1,0,0,0,54.1
412,19,0.0,25.0,0,1.9516,3.171,23.0,18.0,19.0,6,0,0,0,1,1,1,59.02
413,19,13.0,11.0,1,2.8666,3.638,22.0,29.0,24.0,7,1,1,0,1,1,1,76.23
414,19,0.0,8.0,0,3.125,3.2,25.0,22.0,23.0,8,1,0,1,0,1,1,72.95
415,19,5.0,6.0,0,2.4821,2.945,17.0,24.0,20.0,9,0,1,1,0,1,1,50.82
416,18,20.0,6.0,0,3.1785,3.722,23.0,23.0,26.0,10,0,1,0,0,0,0,72.13
417,19,0.0,0.0,1,2.3392,2.863,21.0,18.0,20.0,4,1,0,0,1,1,1,70.49
418,19,0.0,2.0,1,1.9444,2.636,19.0,18.0,19.0,5,1,0,0,1,1,0,68.03
419,19,0.0,10.0,0,1.8965,3.305,21.0,21.0,20.0,7,0,0,1,0,0,0,78.69
420,20,0.0,4.0,0,2.4464,2.463,16.0,19.0,17.0,10,1,1,0,1,1,1,61.48
421,19,15.0,6.5,0,3.074,3.209,27.0,25.0,26.0,8,0,0,0,1,0,0,74.59
422,19,0.0,10.0,1,2.7413,2.85,,,,8,0,0,1,0,0,1,65.57
423,18,10.0,7.5,0,3.1666,3.389,20.0,26.0,24.0,9,0,1,0,1,1,0,83.61
424,19,20.0,12.5,0,2.4655,3.008,,,,7,1,1,0,1,0,1,58.2
425,18,16.0,25.0,1,2.8125,3.394,,,,9,0,0,0,1,1,1,71.31
426,19,15.0,12.0,0,2.375,3.07,,,,10,0,1,0,1,1,1,63.11
427,19,0.0,8.0,0,3.3157,3.11,18.0,30.0,20.0,9,1,0,1,0,1,1,77.87
428,19,0.0,8.0,1,2.0192,3.0,25.0,18.0,23.0,3,0,0,1,0,0,1,47.54
429,19,0.0,10.0,1,3.4833,4.0,,,,8,0,0,1,0,0,0,70.49
430,19,17.0,20.0,1,2.9,3.116,17.0,16.0,18.0,4,1,0,1,0,0,1,69.67
431,19,22.5,25.0,0,3.625,3.793,22.0,25.0,22.0,9,0,1,1,0,1,1,67.21
432,24,30.0,17.5,1,2.4056,2.884,19.0,19.0,19.0,5,0,1,1,0,0,1,75.78
433,20,9.0,8.0,1,2.7857,3.916,26.0,26.0,24.0,8,0,1,0,1,0,0,67.19
434,20,25.0,30.0,0,1.9375,3.312,18.0,22.0,20.0,8,0,1,0,1,0,0,55.47
435,22,0.0,10.0,1,2.7226,3.452,25.0,26.0,26.0,10,0,1,0,0,0,0,87.5
436,21,6.0,6.0,0,2.7554,3.194,25.0,29.0,28.0,10,1,1,0,0,1,1,82.03
437,21,13.0,30.0,1,2.3835,3.263,24.0,23.0,22.0,7,0,1,1,0,0,0,68.75
438,21,35.0,20.0,0,2.0542,2.953,20.0,17.0,20.0,1,1,0,0,0,1,0,57.03
439,21,0.0,8.0,0,3.018,3.373,22.0,23.0,23.0,7,1,0,0,1,1,1,72.66
440,21,0.0,20.0,0,2.4864,3.791,25.0,27.0,25.0,8,1,1,0,1,1,1,82.03
441,20,0.0,17.5,1,2.4485,3.053,19.0,22.0,19.0,10,1,1,1,0,0,0,79.69
442,20,0.0,10.0,1,2.9545,3.589,28.0,31.0,32.0,10,1,1,0,0,1,1,75.78
443,20,0.0,10.0,0,2.5625,3.11,15.0,17.0,16.0,7,0,0,0,1,0,1,58.59
444,20,22.5,12.5,1,2.5584,3.14,17.0,26.0,21.0,6,0,1,1,0,0,0,82.03
445,21,0.0,15.0,0,2.9602,3.79,28.0,22.0,26.0,9,1,1,0,1,1,1,70.31
446,21,29.0,7.0,0,2.4074,2.623,21.0,22.0,23.0,7,0,1,0,1,0,0,58.59
447,21,32.0,15.0,1,1.6896,3.25,,,,8,1,1,0,0,1,1,71.09
448,20,30.0,6.0,0,3.492,3.074,22.0,20.0,23.0,5,1,0,1,0,1,1,79.69
449,20,6.0,17.5,0,2.7777,3.528,25.0,26.0,23.0,10,0,1,1,0,0,1,66.41
450,21,24.0,15.0,1,2.2812,2.77,24.0,32.0,25.0,10,1,1,0,0,1,1,87.5
451,20,0.0,12.5,0,1.8593,3.256,19.0,17.0,18.0,5,0,0,0,1,1,0,60.16
452,20,15.0,12.5,1,3.6428,3.844,23.0,25.0,26.0,6,0,1,0,1,1,1,77.34
453,21,10.0,10.0,0,3.1632,3.5,24.0,29.0,25.0,10,1,1,0,1,1,1,89.06
454,20,0.0,30.0,1,2.9224,2.846,23.0,21.0,22.0,7,0,1,0,1,0,1,82.03
455,20,25.0,8.0,0,2.8363,3.684,27.0,25.0,29.0,10,0,1,0,1,1,0,78.13
456,20,20.0,5.0,0,3.6724,3.691,29.0,28.0,28.0,8,0,1,0,0,0,1,93.75
457,21,12.0,12.5,0,2.7363,3.469,20.0,22.0,20.0,5,0,1,0,1,0,1,58.59
458,20,0.0,27.5,1,3.5307,3.63,26.0,23.0,25.0,8,0,1,1,0,1,1,86.72
459,20,11.0,11.0,1,3.0588,3.861,24.0,21.0,24.0,9,0,0,0,0,0,0,60.16
460,19,20.0,10.0,0,2.5543,2.453,24.0,20.0,24.0,7,0,0,0,0,1,1,69.53
461,20,15.0,20.0,1,2.2291,3.076,18.0,19.0,20.0,7,0,0,1,0,1,0,51.56
462,20,10.0,6.0,0,2.0769,2.778,15.0,21.0,15.0,9,1,1,0,1,1,1,44.53
463,20,27.5,8.0,0,2.6727,2.965,18.0,20.0,21.0,4,1,0,0,1,1,0,57.81
464,20,0.0,25.0,0,3.4745,3.235,23.0,21.0,22.0,7,0,1,1,0,1,0,94.53
465,19,0.0,15.0,0,2.3365,3.471,23.0,22.0,21.0,7,0,1,1,0,0,0,59.38
466,20,15.0,25.0,0,3.5793,3.161,16.0,20.0,18.0,7,1,0,1,0,1,1,96.09
467,20,12.0,10.0,0,2.8467,3.19,24.0,22.0,22.0,9,1,1,0,0,0,1,76.56
468,20,13.0,30.0,0,3.0636,2.972,23.0,29.0,23.0,10,0,1,0,0,0,0,86.72
469,20,0.0,20.0,0,3.5555,3.837,24.0,25.0,23.0,10,1,1,1,0,1,1,93.75
470,20,0.0,5.0,0,2.1734,2.88,26.0,31.0,29.0,10,1,1,0,1,1,0,92.19
471,20,0.0,11.0,0,2.8043,3.53,20.0,25.0,24.0,10,1,1,0,1,0,0,75.0
472,20,12.0,15.0,0,3.75,3.69,29.0,30.0,28.0,8,1,1,0,1,1,1,94.53
473,20,0.0,20.0,0,2.8965,3.358,24.0,25.0,24.0,9,1,0,0,1,0,0,93.75
474,20,10.0,5.0,0,3.3771,3.133,24.0,23.0,23.0,6,1,1,0,1,0,1,89.06
475,20,35.0,5.0,1,3.2244,3.778,30.0,31.0,32.0,10,1,1,0,1,0,0,81.25
476,20,25.0,15.0,1,2.8474,3.606,31.0,25.0,31.0,8,0,1,0,1,0,0,53.91
477,20,16.0,5.0,0,2.4074,3.05,26.0,19.0,23.0,8,0,0,0,1,1,0,78.91
478,20,30.0,5.0,0,3.2916,3.236,20.0,24.0,22.0,10,0,0,0,0,0,0,59.38
479,19,0.0,20.0,0,2.625,3.31,24.0,30.0,25.0,10,1,1,0,1,0,0,61.72
480,19,8.0,20.0,1,2.25,3.27,27.0,17.0,23.0,6,0,0,1,0,0,0,53.91
481,19,15.0,20.0,0,2.9583,2.67,23.0,30.0,26.0,10,1,1,0,1,1,1,85.16
482,18,0.0,2.3,1,2.75,3.393,22.0,21.0,21.0,9,1,1,0,0,1,0,58.59
483,20,22.5,10.0,0,3.241,3.854,20.0,23.0,23.0,8,1,1,0,1,1,0,87.5
484,21,15.0,7.0,0,2.051,3.17,24.0,20.0,20.0,9,1,1,1,0,1,0,57.81
485,20,17.0,15.0,1,3.2539,3.962,20.0,27.0,22.0,9,1,1,1,0,0,0,92.19
486,20,0.0,7.0,1,2.8508,3.917,22.0,20.0,21.0,7,1,1,0,1,1,1,89.84
487,20,13.5,12.5,0,2.3333,3.264,23.0,24.0,23.0,8,1,1,0,0,0,1,86.72
488,19,0.0,16.0,0,3.3392,3.269,24.0,17.0,24.0,8,0,0,1,0,1,1,85.94
489,19,0.0,21.0,1,3.4629,3.757,19.0,21.0,21.0,10,0,1,0,1,1,1,71.88
490,19,0.0,2.0,0,3.8448,3.714,31.0,28.0,31.0,10,1,0,0,1,1,1,94.53
491,21,0.0,20.0,0,3.1851,3.281,15.0,16.0,16.0,10,1,1,1,0,1,1,58.59
492,19,0.0,8.5,0,2.9285,3.51,28.0,25.0,29.0,7,1,0,0,0,1,1,74.22
493,18,10.0,10.0,0,2.9285,3.278,23.0,24.0,21.0,9,0,1,0,1,1,1,50.0
494,20,16.0,28.0,1,1.9512,3.14,14.0,18.0,17.0,7,0,0,0,1,0,1,50.0
495,20,17.0,4.0,1,1.8278,3.277,21.0,20.0,21.0,7,1,0,0,1,1,1,48.44
496,21,0.0,12.0,0,1.9607,2.51,15.0,16.0,18.0,5,1,1,0,1,1,1,47.66
497,20,15.0,6.0,1,3.0254,3.556,22.0,21.0,22.0,6,0,1,1,0,0,1,85.94
498,20,0.0,10.0,1,2.629,3.372,20.0,21.0,21.0,6,0,0,0,1,0,0,52.34
499,19,0.0,11.0,0,3.3392,3.56,24.0,25.0,25.0,8,1,0,0,0,1,1,79.69
500,20,8.0,18.0,0,2.5744,2.767,23.0,24.0,24.0,9,1,1,0,1,1,1,78.91
501,18,37.5,8.5,0,3.3871,3.7,28.0,24.0,27.0,8,0,0,0,1,0,0,83.59
502,20,16.0,12.0,1,2.8125,3.151,24.0,22.0,23.0,7,0,0,0,1,1,1,75.0
503,19,0.0,15.0,0,3.1034,3.611,27.0,25.0,26.0,8,0,1,0,1,1,1,84.38
504,19,12.0,20.0,0,3.1206,3.667,22.0,19.0,23.0,8,0,1,1,0,0,0,93.75
505,19,13.0,25.0,0,3.3928,3.5,22.0,26.0,23.0,9,0,1,1,0,1,1,80.47
506,19,0.0,20.0,1,3.5,3.81,25.0,28.0,25.0,9,0,1,1,0,0,0,82.03
507,20,0.0,10.0,0,2.0777,3.18,18.0,17.0,17.0,6,1,0,0,1,1,0,43.75
508,18,0.0,10.0,0,2.46,3.3,28.0,24.0,25.0,7,0,1,0,1,0,0,88.28
509,19,20.0,25.0,1,2.0714,3.166,19.0,19.0,22.0,7,0,1,1,0,1,0,53.91
510,19,11.0,10.0,1,2.5454,3.285,26.0,22.0,23.0,8,0,1,0,1,0,0,78.13
511,19,0.0,4.0,1,2.6724,3.0,26.0,20.0,24.0,8,1,1,0,0,1,1,69.53
512,19,10.0,10.0,1,2.95,3.447,24.0,19.0,21.0,6,1,0,0,1,1,1,77.34
513,19,30.0,17.5,1,2.6166,3.21,21.0,27.0,26.0,8,1,1,0,1,0,0,82.03
514,19,11.0,12.5,1,2.7857,3.68,23.0,19.0,21.0,6,0,1,0,1,0,0,66.41
515,19,12.5,5.0,0,2.3636,3.256,29.0,26.0,31.0,10,1,0,0,0,1,1,48.44
516,19,0.0,15.0,0,2.5535,3.208,22.0,20.0,21.0,9,1,1,1,0,0,0,77.34
517,19,0.0,8.0,0,2.7413,3.08,30.0,25.0,29.0,7,1,1,0,1,1,1,67.97
518,19,5.0,16.0,1,2.9655,3.214,,,,9,1,1,0,1,1,1,87.5
519,19,0.0,10.0,0,3.56,3.302,24.0,24.0,22.0,9,1,0,1,0,0,0,83.59
520,19,35.0,12.0,0,2.9464,4.0,23.0,28.0,22.0,10,0,1,0,1,0,0,89.84
521,20,17.5,12.5,0,2.5357,2.816,24.0,22.0,21.0,8,0,0,0,1,1,1,47.66
522,19,0.0,6.0,0,3.8214,3.99,27.0,28.0,29.0,10,0,0,0,1,1,1,86.72
523,19,0.0,16.5,0,2.7142,2.97,24.0,23.0,24.0,7,1,1,0,1,1,1,68.75
524,19,0.0,14.0,1,3.7419,3.575,29.0,25.0,30.0,8,0,0,0,1,0,1,57.03
525,19,0.0,22.5,0,3.0892,2.89,23.0,17.0,20.0,8,0,0,0,1,0,1,78.13
526,19,0.0,10.0,0,3.5,3.676,27.0,25.0,26.0,7,0,0,0,0,1,1,89.06
527,19,6.5,9.0,1,2.7656,3.262,20.0,24.0,22.0,7,0,1,0,1,1,1,64.84
528,19,0.0,20.0,0,3.4285,3.17,,,,8,1,1,1,0,0,1,67.97
529,19,0.0,12.5,1,3.2777,3.412,,,,10,1,1,0,0,1,1,83.59
