,year,state,sl55,sl65,sl70,sl75,slnone,seatbelt,minage,zerotol,gdl,bac10,bac08,perse,totfat,nghtfat,wkndfat,totfatpvm,nghtfatpvm,wkndfatpvm,statepop,totfatrte,nghtfatrte,wkndfatrte,vehicmiles,unem,perc14_24,sl70plus,sbprim,sbsecon,d80,d81,d82,d83,d84,d85,d86,d87,d88,d89,d90,d91,d92,d93,d94,d95,d96,d97,d98,d99,d00,d01,d02,d03,d04,vehicmilespc
306,1986,16,1.0,0.0,0.0,0.0,0.0,1,21.0,0.0,0.0,1.0,0.0,1.0,441,215,130,2.16,1.053,0.637,2791972,15.8,7.7,4.66,20.41667,7.0,16.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7312.6343
307,1987,16,0.458,0.542,0.0,0.0,0.0,1,21.0,0.0,0.0,1.0,0.0,1.0,491,229,113,2.36,1.101,0.543,2767008,17.74,8.28,4.08,20.80508,5.5,15.5,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7518.981
308,1988,16,0.0,1.0,0.0,0.0,0.0,1,21.0,0.0,0.0,1.0,0.0,1.0,557,273,156,2.54,1.245,0.711,2768397,20.12,9.86,5.6400003,21.92913,4.5,15.000001,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7921.238
309,1989,16,0.0,1.0,0.0,0.0,0.0,1,21.0,0.0,0.0,1.0,0.0,1.0,514,238,142,2.28,1.056,0.63,2770588,18.55,8.59,5.13,22.54386,4.3,14.5,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8136.8496
310,1990,16,0.0,1.0,0.0,0.0,0.0,1,21.0,0.0,0.0,1.0,0.0,1.0,465,216,122,2.02,0.938,0.53,2779769,16.73,7.77,4.3900003,23.0198,4.3,14.300001,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8281.192
311,1991,16,0.0,1.0,0.0,0.0,0.0,1,21.0,0.0,0.0,1.0,0.0,1.0,488,197,115,2.12,0.856,0.5,2797613,17.439999,7.04,4.11,23.01887,4.6,14.200001,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8228.039
312,1992,16,0.0,1.0,0.0,0.0,0.0,1,21.0,0.0,0.0,1.0,0.0,1.0,437,188,110,1.83,0.787,0.461,2818401,15.51,6.67,3.8999999,23.87978,4.7,14.200001,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8472.812
313,1993,16,0.0,1.0,0.0,0.0,0.0,1,21.0,0.0,0.0,1.0,0.0,1.0,459,195,102,1.83,0.777,0.407,2836972,16.18,6.87,3.6000001,25.08197,4.0,14.300001,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8841.106
314,1994,16,0.0,1.0,0.0,0.0,0.0,1,21.0,0.0,0.0,1.0,0.0,1.0,478,200,102,1.86,0.778,0.397,2850746,16.77,7.0200005,3.5800002,25.69892,3.7,14.200001,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9014.805
315,1995,16,0.0,1.0,0.0,0.0,0.0,1,21.0,0.5,0.0,1.0,0.0,1.0,527,212,119,2.03,0.817,0.458,2867373,18.380001,7.3900003,4.15,25.96059,3.5,14.300001,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9053.789
316,1996,16,0.0,1.0,0.0,0.0,0.0,1,21.0,1.0,0.0,1.0,0.0,1.0,465,197,100,1.73,0.733,0.372,2880000,16.15,6.84,3.47,26.878609,3.8,14.200001,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9332.85
317,1997,16,0.0,1.0,0.0,0.0,0.0,1,21.0,1.0,0.0,1.0,0.0,1.0,468,170,93,1.67,0.607,0.332,2891119,16.189999,5.88,3.22,28.023949,3.3,14.300001,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9693.115
318,1998,16,0.0,1.0,0.0,0.0,0.0,1,21.0,1.0,0.0,1.0,0.0,1.0,449,171,86,1.55,0.59,0.297,2902872,15.47,5.89,2.96,28.967741,2.8,14.4,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9978.993
319,1999,16,0.0,1.0,0.0,0.0,0.0,1,21.0,1.0,1.0,1.0,0.0,1.0,490,203,89,1.68,0.696,0.305,2917634,16.79,6.96,3.0500002,29.16667,2.5,14.5,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9996.686
320,2000,16,0.0,1.0,0.0,0.0,0.0,1,21.0,1.0,1.0,1.0,0.0,1.0,445,176,94,1.51,0.597,0.319,2926324,15.21,6.01,3.21,29.4702,2.6,14.5,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10070.723
321,2001,16,0.0,1.0,0.0,0.0,0.0,1,21.0,1.0,1.0,1.0,0.0,1.0,446,170,89,1.49,0.568,0.297,2931967,15.21,5.7999997,3.04,29.93289,3.3,14.4,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10209.149
322,2002,16,0.0,1.0,0.0,0.0,0.0,1,21.0,1.0,1.0,1.0,0.0,1.0,405,169,78,1.313,0.548,0.253,2935840,13.76,5.74,2.6499999,30.83969,4.0,14.300001,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10504.554
323,2003,16,0.0,1.0,0.0,0.0,0.0,1,21.0,1.0,1.0,0.5,0.5,1.0,443,196,97,1.426,0.631,0.312,2944062,14.9800005,6.63,3.2800002,31.05634,4.5,14.200001,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10548.806
324,2004,16,0.0,1.0,0.0,0.0,0.0,1,21.0,1.0,1.0,0.0,1.0,1.0,390,153,82,1.24,0.486,0.261,2954000,13.200001,5.1800003,2.78,31.451609,5.0,14.1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10647.125
325,1980,17,1.0,0.0,0.0,0.0,0.0,0,18.0,0.0,0.0,0.0,0.0,0.0,595,313,153,3.4,1.789,0.874,2363679,25.17,13.24,6.4700003,17.5,4.5,19.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7403.7124
326,1981,17,1.0,0.0,0.0,0.0,0.0,0,18.0,0.0,0.0,0.0,0.0,0.0,580,304,182,3.32,1.74,1.042,2384853,23.4,12.75,7.63,17.47,4.2,18.5,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7325.3984
327,1982,17,1.0,0.0,0.0,0.0,0.0,0,18.0,0.0,0.0,0.0,0.0,0.0,498,241,122,2.82,1.365,0.691,2401208,20.739998,10.039999,5.08,17.65957,6.3,17.9,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7354.453
328,1983,17,1.0,0.0,0.0,0.0,0.0,0,18.0,0.0,0.0,0.0,0.0,0.0,411,191,110,2.26,1.05,0.605,2415543,17.01,7.91,4.55,18.18584,6.1,17.3,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7528.6763
329,1984,17,1.0,0.0,0.0,0.0,0.0,0,18.0,0.0,0.0,0.0,0.0,0.0,510,241,138,2.72,1.285,0.736,2424080,21.04,9.940001,5.69,18.75,5.2,16.699999,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7734.893
330,1985,17,1.0,0.0,0.0,0.0,0.0,0,20.0,0.0,0.0,0.5,0.0,0.0,486,226,123,2.52,1.172,0.638,2427417,20.02,9.309999,5.07,19.285711,5.0,16.2,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7944.9517
331,1986,17,1.0,0.0,0.0,0.0,0.0,2,21.0,0.0,0.0,1.0,0.0,0.0,500,258,137,2.52,1.3,0.69,2432621,20.550001,10.61,5.63,19.84127,5.4,15.700001,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8156.335
332,1987,17,0.333,0.667,0.0,0.0,0.0,2,21.0,0.0,0.0,1.0,0.0,0.0,491,230,132,2.39,1.12,0.643,2445386,20.079998,9.41,5.4,20.54393,4.9,15.2,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8401.099
333,1988,17,0.0,1.0,0.0,0.0,0.0,2,21.0,0.0,0.0,1.0,0.0,0.5,483,223,121,2.28,1.053,0.571,2461992,19.62,9.06,4.91,21.184212,4.8,14.8,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8604.501
334,1989,17,0.0,1.0,0.0,0.0,0.0,2,21.0,0.0,0.0,1.0,0.0,1.0,428,207,117,1.95,0.943,0.533,2472849,17.31,8.37,4.73,21.94872,4.0,14.4,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8875.885
335,1990,17,0.0,1.0,0.0,0.0,0.0,2,21.0,0.0,0.0,1.0,0.0,1.0,444,205,116,1.94,0.896,0.507,2480683,17.9,8.26,4.68,22.8866,4.5,14.200001,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9225.927
336,1991,17,0.0,1.0,0.0,0.0,0.0,2,21.0,0.0,0.0,1.0,0.0,1.0,409,184,102,1.76,0.792,0.439,2498722,16.369999,7.36,4.08,23.23864,4.5,14.1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9300.21
337,1992,17,0.0,1.0,0.0,0.0,0.0,2,21.0,0.0,0.0,1.0,0.0,1.0,387,171,85,1.6,0.707,0.351,2532394,15.28,6.75,3.36,24.1875,4.3,14.1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9551.238
338,1993,17,0.0,1.0,0.0,0.0,0.0,2,21.0,0.0,0.0,0.5,0.5,1.0,428,169,83,1.77,0.699,0.343,2556547,16.74,6.61,3.25,24.18079,5.0,14.1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9458.378
339,1994,17,0.0,1.0,0.0,0.0,0.0,2,21.0,0.0,0.0,0.0,1.0,1.0,442,197,104,1.79,0.798,0.421,2580513,17.130001,7.63,4.0299997,24.69274,5.3,14.1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9568.927
340,1995,17,0.0,1.0,0.0,0.0,0.0,2,21.0,0.0,0.0,0.0,1.0,1.0,442,203,104,1.76,0.808,0.414,2601007,16.99,7.7999997,4.0,25.11364,4.4,14.200001,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9655.354
341,1996,17,0.0,0.167,0.833,0.0,0.0,2,21.0,0.5,0.0,0.0,1.0,1.0,490,217,103,1.89,0.837,0.397,2614554,18.74,8.3,3.94,25.92593,4.5,14.300001,0.833,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9916.005
342,1997,17,0.0,0.0,1.0,0.0,0.0,2,21.0,1.0,0.0,0.0,1.0,1.0,482,160,68,1.82,0.604,0.257,2635292,18.29,6.0699997,2.58,26.483519,3.8,14.5,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10049.558
343,1998,17,0.0,0.0,1.0,0.0,0.0,2,21.0,1.0,0.0,0.0,1.0,1.0,492,189,102,1.82,0.699,0.377,2660598,18.49,7.1,3.83,27.03297,3.8,14.8,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10160.486
344,1999,17,0.0,0.0,1.0,0.0,0.0,2,21.0,1.0,0.0,0.0,1.0,1.0,540,243,119,1.95,0.878,0.43,2678338,20.16,9.07,4.44,27.69231,3.0,15.000001,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10339.363
345,2000,17,0.0,0.0,1.0,0.0,0.0,2,21.0,1.0,0.0,0.0,1.0,1.0,461,200,101,1.64,0.711,0.359,2688418,17.15,7.44,3.7599998,28.10976,3.7,14.900001,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10455.874
346,2001,17,0.0,0.0,1.0,0.0,0.0,2,21.0,1.0,0.0,0.0,1.0,1.0,494,214,114,1.75,0.758,0.404,2702125,18.279999,7.92,4.22,28.22857,4.3,14.900001,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10446.805
347,2002,17,0.0,0.0,1.0,0.0,0.0,2,21.0,1.0,0.0,0.0,1.0,1.0,507,208,104,1.782,0.731,0.366,2711769,18.880001,7.75,3.87,28.444439,5.1,14.900001,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10489.256
348,2003,17,0.0,0.0,1.0,0.0,0.0,2,21.0,1.0,0.0,0.0,1.0,1.0,469,187,97,1.633,0.651,0.338,2723507,17.289999,6.9,3.5800002,28.71951,5.4,14.900001,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10545.047
349,2004,17,0.0,0.0,1.0,0.0,0.0,2,21.0,1.0,0.0,0.0,1.0,1.0,461,169,64,1.58,0.579,0.219,2736000,16.849998,6.18,2.34,29.177221,5.3,14.900001,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10664.189
350,1980,18,1.0,0.0,0.0,0.0,0.0,0,21.0,0.0,0.0,0.0,0.0,0.0,820,424,203,3.2,1.655,0.792,3660777,22.4,11.58,5.55,25.625,8.0,19.1,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6999.88
351,1981,18,1.0,0.0,0.0,0.0,0.0,0,21.0,0.0,0.0,0.0,0.0,0.0,812,390,220,3.223,1.548,0.873,3670373,22.34,10.629999,5.99,25.195,8.4,18.8,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6864.425
352,1982,18,1.0,0.0,0.0,0.0,0.0,0,21.0,0.0,0.0,0.0,0.0,0.0,822,401,220,3.21,1.566,0.859,3683426,22.320002,10.889999,5.9700003,25.607481,10.6,18.4,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6952.0825
353,1983,18,1.0,0.0,0.0,0.0,0.0,0,21.0,0.0,0.0,0.0,0.0,0.0,778,362,200,2.91,1.354,0.748,3694487,21.06,9.8,5.41,26.735401,11.7,18.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7236.5664
354,1984,18,1.0,0.0,0.0,0.0,0.0,0,21.0,0.0,0.0,0.0,0.0,0.0,754,318,170,2.7,1.139,0.609,3695453,20.4,8.61,4.6,27.92593,9.3,17.5,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7556.8354
355,1985,18,1.0,0.0,0.0,0.0,0.0,0,21.0,0.0,0.0,0.0,0.0,0.0,712,314,160,2.5,1.103,0.562,3694833,19.27,8.5,4.33,28.48,9.5,17.2,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7708.061
356,1986,18,1.0,0.0,0.0,0.0,0.0,0,21.0,0.0,0.0,0.0,0.0,0.0,805,347,182,2.75,1.185,0.622,3687819,21.830002,9.41,4.94,29.27273,9.3,16.8,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7937.6807
357,1987,18,0.417,0.583,0.0,0.0,0.0,0,21.0,0.0,0.0,0.0,0.0,0.0,844,373,190,2.78,1.229,0.626,3683332,22.91,10.13,5.16,30.35971,8.8,16.4,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8242.459
358,1988,18,0.0,1.0,0.0,0.0,0.0,0,21.0,0.0,0.0,0.0,0.0,0.0,838,383,221,2.65,1.211,0.699,3680010,22.77,10.41,6.01,31.62264,7.9,16.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8593.085
359,1989,18,0.0,1.0,0.0,0.0,0.0,0,21.0,0.0,0.0,0.0,0.0,0.0,772,313,151,2.4,0.973,0.469,3677313,20.99,8.51,4.11,32.16667,6.2,15.6,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8747.33
360,1990,18,0.0,1.0,0.0,0.0,0.0,0,21.0,0.0,0.0,0.0,0.0,0.0,849,338,177,2.52,1.003,0.525,3692584,22.99,9.150001,4.79,33.69048,5.9,15.299999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9123.821
361,1991,18,0.0,1.0,0.0,0.0,0.0,0,21.0,0.0,0.0,0.0,0.0,0.0,826,354,191,2.35,1.007,0.543,3722328,22.19,9.51,5.13,35.14894,7.5,15.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9442.73
362,1992,18,0.0,1.0,0.0,0.0,0.0,0,21.0,0.0,0.0,1.0,0.0,0.0,815,319,175,2.14,0.838,0.46,3765469,21.64,8.47,4.65,38.08411,6.9,15.099999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10114.041
363,1993,18,0.0,1.0,0.0,0.0,0.0,0,21.0,0.0,0.0,1.0,0.0,0.0,871,327,153,2.2,0.826,0.386,3812206,22.85,8.58,4.0099998,39.59091,6.2,15.099999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10385.303
364,1994,18,0.0,1.0,0.0,0.0,0.0,0,21.0,0.0,0.0,1.0,0.0,0.0,778,309,154,1.95,0.774,0.386,3849088,20.21,8.03,4.0,39.89744,5.4,15.099999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10365.428
365,1995,18,0.0,1.0,0.0,0.0,0.0,2,21.0,0.0,0.0,1.0,0.0,0.0,849,333,187,2.07,0.812,0.456,3887427,21.84,8.57,4.81,41.01449,5.4,15.000001,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10550.549
366,1996,18,0.0,1.0,0.0,0.0,0.0,2,21.0,0.25,0.0,1.0,0.0,0.0,842,356,172,1.98,0.837,0.404,3919535,21.48,9.08,4.3900003,42.52525,5.6,14.8,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10849.565
367,1997,18,0.0,1.0,0.0,0.0,0.0,2,21.0,1.0,0.0,1.0,0.0,0.0,857,296,150,1.91,0.66,0.334,3952747,21.68,7.4900002,3.79,44.86911,5.4,14.7,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11351.374
368,1998,18,0.0,1.0,0.0,0.0,0.0,2,21.0,1.0,0.0,1.0,0.0,0.0,858,306,156,1.84,0.656,0.335,3985390,21.53,7.6800003,3.91,46.63043,4.6,14.7,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11700.343
369,1999,18,0.0,1.0,0.0,0.0,0.0,2,21.0,1.0,0.0,1.0,0.0,0.0,814,312,147,1.7,0.652,0.307,4018053,20.26,7.76,3.6599998,47.88235,4.5,14.599999,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11916.805
370,2000,18,0.0,1.0,0.0,0.0,0.0,2,21.0,1.0,0.0,0.75,0.25,0.0,820,333,149,1.75,0.711,0.318,4041769,20.29,8.24,3.6899998,46.85714,4.1,14.300001,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11593.226
371,2001,18,0.0,1.0,0.0,0.0,0.0,2,21.0,1.0,0.0,0.0,1.0,0.0,845,285,150,1.83,0.617,0.325,4068816,20.769999,7.0,3.6899998,46.17486,5.4,14.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11348.476
372,2002,18,0.0,1.0,0.0,0.0,0.0,2,21.0,1.0,0.0,0.0,1.0,0.0,915,359,184,1.95,0.765,0.392,4089822,22.369999,8.780001,4.5,46.923077,5.6,13.9,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11473.134
373,2003,18,0.0,1.0,0.0,0.0,0.0,2,21.0,1.0,0.0,0.0,1.0,0.0,928,337,142,1.99,0.723,0.305,4117827,22.539999,8.18,3.45,46.63317,6.2,13.799999,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11324.704
374,2004,18,0.0,1.0,0.0,0.0,0.0,2,21.0,1.0,0.0,0.0,1.0,0.0,964,370,184,2.04,0.783,0.389,4146000,23.25,8.92,4.44,47.254898,4.7,13.7,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11397.708
375,1980,19,1.0,0.0,0.0,0.0,0.0,0,18.0,0.0,0.0,0.0,0.0,0.0,1219,658,337,5.0,2.699,1.382,4205900,28.98,15.64,8.01,24.38,6.7,20.1,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5796.619
376,1981,19,1.0,0.0,0.0,0.0,0.0,0,18.0,0.0,0.0,0.0,0.0,0.0,1233,623,327,4.94,2.496,1.31,4283290,28.52,14.54,7.63,24.96,8.4,19.8,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5827.2964
377,1982,19,1.0,0.0,0.0,0.0,0.0,0,18.0,0.0,0.0,0.0,0.0,0.0,1091,591,311,4.06,2.199,1.157,4352596,25.07,13.58,7.1499996,26.87192,10.3,19.400002,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6173.768
378,1983,19,1.0,0.0,0.0,0.0,0.0,0,18.0,0.0,0.0,0.0,0.0,0.0,933,489,247,3.07,1.609,0.813,4395322,21.23,11.13,5.62,30.39088,11.8,18.9,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6914.369
379,1984,19,1.0,0.0,0.0,0.0,0.0,0,18.0,0.0,0.0,1.0,0.0,1.0,961,487,259,2.94,1.49,0.792,4400476,21.84,11.07,5.89,32.68707,10.0,18.4,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7428.0757
380,1985,19,1.0,0.0,0.0,0.0,0.0,0,18.0,0.0,0.0,1.0,0.0,1.0,931,470,244,2.79,1.408,0.731,4408131,21.119999,10.66,5.54,33.36918,11.5,17.9,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7569.9155
381,1986,19,1.0,0.0,0.0,0.0,0.0,2,18.0,0.0,0.0,1.0,0.0,1.0,932,482,282,3.12,1.614,0.944,4406931,21.15,10.94,6.3999996,29.87179,13.1,17.4,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6778.3657
382,1987,19,0.25,0.75,0.0,0.0,0.0,2,19.0,0.0,0.0,1.0,0.0,1.0,826,428,233,2.73,1.415,0.77,4344135,19.01,9.85,5.36,30.25641,12.0,16.9,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6964.887
383,1988,19,0.0,1.0,0.0,0.0,0.0,2,21.0,0.0,0.0,1.0,0.0,1.0,925,471,273,2.67,1.36,0.788,4288842,21.57,10.9800005,6.3700004,34.64419,10.9,16.4,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8077.75
384,1989,19,0.0,1.0,0.0,0.0,0.0,2,21.0,0.0,0.0,1.0,0.0,1.0,878,441,233,2.47,1.241,0.655,4252911,20.64,10.369999,5.4799995,35.54656,7.9,15.9,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8358.171
385,1990,19,0.0,1.0,0.0,0.0,0.0,2,21.0,0.0,0.0,1.0,0.0,1.0,959,495,262,2.53,1.306,0.691,4219179,22.73,11.73,6.21,37.90514,6.3,15.6,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8984.009
386,1991,19,0.0,1.0,0.0,0.0,0.0,2,21.0,0.0,0.0,1.0,0.0,1.0,862,442,245,2.48,1.272,0.705,4253279,20.27,10.39,5.7599998,34.75806,7.2,15.5,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8172.062
387,1992,19,0.0,1.0,0.0,0.0,0.0,2,21.0,0.0,0.0,1.0,0.0,1.0,886,463,259,2.62,1.369,0.766,4293003,20.64,10.78,6.0299997,33.816788,8.2,15.5,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7877.1875
388,1993,19,0.0,1.0,0.0,0.0,0.0,2,21.0,0.0,0.0,1.0,0.0,1.0,878,453,238,2.42,1.249,0.656,4316428,20.34,10.49,5.51,36.280987,7.5,15.5,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8405.326
