,favscr,undscr,spread,favhome,neutral,fav25,und25,fregion,uregion,scrdiff,sprdcvr,favwin
459,89,78.0,2.0,1,0,0,0,2,3,11,1,1
460,60,75.0,4.0,1,0,0,0,2,2,-15,0,0
461,58,65.0,10.5,1,0,0,0,4,4,-7,0,0
462,65,63.0,4.5,0,0,0,0,3,3,2,0,1
463,81,76.0,7.0,1,0,0,0,4,4,5,0,1
464,84,68.0,18.0,1,0,1,0,4,3,16,0,1
465,77,58.0,5.0,0,0,1,0,4,4,19,1,1
466,83,60.0,21.0,0,0,1,0,3,3,23,1,1
467,46,42.0,9.5,0,0,1,0,3,3,4,0,1
468,65,61.0,10.0,1,0,0,0,3,3,4,0,1
469,74,80.0,13.0,1,0,0,0,2,2,-6,0,0
470,80,78.0,8.5,0,0,1,0,4,3,2,0,1
471,78,53.0,22.0,0,0,0,0,3,3,25,1,1
472,82,74.0,1.0,1,0,1,1,2,2,8,1,1
473,60,55.0,9.0,0,1,0,0,4,4,5,0,1
474,97,56.0,20.0,0,0,0,0,4,4,41,1,1
475,56,48.0,3.5,1,0,0,0,4,4,8,1,1
476,57,47.0,15.0,0,0,0,0,4,4,10,0,1
477,70,69.0,3.0,1,0,0,0,3,3,1,0,1
478,63,73.0,10.0,0,0,0,0,1,1,-10,0,0
479,75,66.0,6.5,1,0,0,0,2,3,9,1,1
480,76,80.0,8.0,1,0,0,0,4,4,-4,0,0
481,63,51.0,21.0,1,0,0,0,2,3,12,0,1
482,77,80.0,8.5,1,0,0,0,4,4,-3,0,0
483,56,52.0,13.5,1,0,0,0,2,2,4,0,1
484,72,48.0,5.0,0,0,0,0,3,3,24,1,1
485,109,75.0,23.5,1,0,0,0,2,2,34,1,1
486,85,80.0,1.5,1,0,0,0,2,2,5,1,1
487,74,68.0,6.5,1,0,0,0,2,3,6,0,1
488,89,92.0,1.0,1,0,0,0,4,4,-3,0,0
489,59,74.0,1.0,1,0,0,0,4,2,-15,0,0
490,74,70.0,10.0,1,0,1,0,4,4,4,0,1
491,74,64.0,9.0,1,0,0,0,4,3,10,1,1
492,86,80.0,16.0,1,0,0,0,3,3,6,0,1
493,75,71.0,1.5,1,0,0,0,3,3,4,1,1
494,72,78.0,1.0,0,0,0,0,1,1,-6,0,0
495,70,71.0,2.0,0,0,0,0,1,1,-1,0,0
496,76,72.0,7.0,1,0,0,0,4,4,4,0,1
497,80,73.0,5.5,1,0,0,0,1,2,7,1,1
498,81,66.0,5.0,0,0,0,0,3,3,15,1,1
499,65,73.0,13.0,0,0,1,0,2,3,-8,0,0
500,78,68.0,2.5,0,0,0,0,2,3,10,1,1
501,77,74.0,5.0,0,0,0,0,4,4,3,0,1
502,70,72.0,9.0,0,0,1,0,4,4,-2,0,0
503,116,94.0,5.0,1,0,0,0,4,4,22,1,1
504,86,73.0,10.0,0,0,0,0,3,2,13,1,1
505,66,64.0,10.0,1,0,0,0,3,2,2,0,1
506,90,75.0,11.0,0,0,0,0,2,2,15,1,1
507,81,73.0,15.0,1,0,0,0,3,2,8,0,1
508,77,49.0,10.5,1,0,1,1,2,2,28,1,1
509,82,87.0,1.0,0,0,0,0,3,3,-5,0,0
510,86,70.0,4.5,1,0,0,0,3,2,16,1,1
511,78,97.0,2.0,1,0,0,0,4,4,-19,0,0
512,66,55.0,6.5,1,0,0,0,4,3,11,1,1
513,78,82.0,6.5,1,0,0,0,3,3,-4,0,0
514,83,63.0,6.0,0,0,0,0,4,3,20,1,1
515,88,72.0,7.0,1,0,0,0,3,3,16,1,1
516,92,75.0,16.0,0,0,0,0,3,2,17,1,1
517,78,47.0,12.5,1,0,0,0,3,3,31,1,1
518,86,71.0,20.0,1,0,1,0,4,4,15,0,1
519,76,68.0,2.0,1,0,0,0,3,4,8,1,1
520,78,70.0,9.5,1,0,0,0,2,3,8,0,1
521,76,88.0,2.0,1,0,0,0,4,4,-12,0,0
522,70,79.0,9.0,1,0,1,1,4,4,-9,0,0
523,91,87.0,1.0,1,0,0,0,4,4,4,1,1
524,92,68.0,13.0,1,0,1,0,4,4,24,1,1
525,64,73.0,4.5,0,1,0,0,4,4,-9,0,0
526,87,60.0,23.0,1,0,0,0,3,3,27,1,1
527,96,82.0,23.0,1,0,0,0,2,2,14,0,1
528,63,62.0,5.5,0,1,1,0,4,4,1,0,1
529,94,85.0,1.0,0,0,1,0,2,3,9,1,1
530,93,63.0,15.0,1,0,0,0,3,3,30,1,1
531,94,92.0,2.0,0,0,1,0,4,4,2,1,1
532,63,36.0,10.0,1,0,0,0,3,3,27,1,1
533,75,60.0,8.5,1,0,0,0,3,3,15,1,1
534,74,58.0,19.5,1,0,0,0,3,3,16,0,1
535,61,54.0,5.5,0,0,0,0,3,3,7,1,1
536,62,45.0,1.5,1,0,0,0,3,4,17,1,1
537,96,92.0,8.0,1,0,1,0,4,4,4,0,1
538,75,63.0,5.0,0,0,0,0,3,3,12,1,1
539,68,52.0,3.0,0,0,0,0,3,3,16,1,1
540,97,74.0,6.5,0,0,1,0,3,3,23,1,1
541,68,71.0,7.0,1,0,1,1,2,2,-3,0,0
542,75,73.0,1.0,1,0,0,0,2,2,2,1,1
543,62,69.0,7.5,1,0,0,0,2,3,-7,0,0
544,81,64.0,24.0,1,0,0,0,3,3,17,0,1
545,75,68.0,15.0,1,0,0,0,4,3,7,0,1
546,92,85.0,3.0,1,0,1,0,3,2,7,1,1
547,67,64.0,8.5,1,0,0,0,2,2,3,0,1
548,69,76.0,2.5,0,0,1,0,3,3,-7,0,0
549,77,61.0,8.5,1,0,0,0,2,3,16,1,1
550,69,50.0,14.0,1,0,0,0,3,3,19,1,1
551,76,81.0,4.5,0,0,1,0,2,2,-5,0,0
552,78,82.0,3.0,0,0,1,0,4,4,-4,0,0
