,r3,r6,r12,p3,p6,hy6,hy3,spr63,hy3_1,hy6_1,spr63_1,hy6hy3_1,cr3,r3_1,chy6,chy3,chy6_1,chy3_1,cr6,cr6_1,cr3_1,r6_1,cspr63
106,7.36,7.68,8.02,9819.811,9631.176,1.8949312,1.8349589,0.3199997,1.82,2.7717931,0.25,0.074931145,0.059999943,7.3,-0.87686193,0.0149588585,0.46401358,-0.37895882,0.12999964,-1.7600002,-1.5199995,7.55,0.069999695
107,7.36,7.58,7.81,9819.811,9635.804,1.958585,1.8349589,0.21999979,1.8349589,1.8949312,0.3199997,0.12362611,0.0,7.36,0.06365383,0.0,-0.87686193,0.0149588585,-0.099999905,0.12999964,0.059999943,7.68,-0.099999905
108,7.22,7.34,7.41,9823.178,9646.928,1.9445604,1.8000548,0.12000036,1.8349589,1.958585,0.21999979,0.1096015,-0.14000034,7.36,-0.014024615,-0.034904122,0.06365383,0.0,-0.23999977,-0.099999905,0.0,7.58,-0.09999943
109,6.49,6.7,6.88,9840.7705,9676.718,2.0093732,1.6180547,0.21000004,1.8000548,1.9445604,0.12000036,0.2093184,-0.73,7.22,0.06481278,-0.18200004,-0.014024615,-0.034904122,-0.64000034,-0.23999977,-0.14000034,7.34,0.089999676
110,5.27,5.35,5.52,9870.314,9740.164,2.000644,1.3138905,0.07999992,1.6180547,2.0093732,0.21000004,0.38258922,-1.2199998,6.49,-0.008729219,-0.3041643,0.06481278,-0.18200004,-1.3499999,-0.64000034,-0.73,6.7,-0.13000011
111,5.51,5.62,5.75,9864.489,9727.409,1.2764179,1.3737261,0.10999966,1.3138905,2.000644,0.07999992,-0.037472606,0.24000025,5.27,-0.7242261,0.059835672,-0.008729219,-0.3041643,0.26999998,-1.3499999,-1.2199998,5.35,0.029999733
112,5.58,5.66,5.87,9862.791,9725.521,1.3917564,1.391178,0.07999992,1.3737261,1.2764179,0.10999966,0.018030286,0.069999695,5.51,0.115338564,0.017451882,-0.7242261,0.059835672,0.03999996,0.26999998,0.24000025,5.62,-0.029999733
113,5.8,6.41,6.81,9857.458,9690.277,1.356601,1.4460274,0.60999966,1.391178,1.3917564,0.07999992,-0.034577012,0.22000027,5.58,-0.035155416,0.054849386,0.115338564,0.017451882,0.75,0.03999996,0.069999695,5.66,0.52999973
114,6.42,6.6,7.12,9842.461,9681.39,1.5704771,1.6006027,0.17999983,1.4460274,1.356601,0.60999966,0.12444973,0.6199999,5.8,0.21387613,0.15457535,-0.035155416,0.054849386,0.19000006,0.75,0.22000027,6.41,-0.42999983
115,5.41,6.4,6.97,9866.916,9690.746,1.9163196,1.3487945,0.99000025,1.6006027,1.5704771,0.17999983,0.31571686,-1.0100002,6.42,0.34584248,-0.2518083,0.21387613,0.15457535,-0.19999981,0.19000006,0.6199999,6.6,0.8100004
116,5.74,6.0,6.55,9858.912,9709.513,1.7353258,1.4310684,0.26000023,1.3487945,1.9163196,0.99000025,0.38653135,0.32999992,5.41,-0.1809938,0.08227396,0.34584248,-0.2518083,-0.4000001,-0.19999981,-1.0100002,6.4,-0.73
117,6.72,7.16,7.62,9835.221,9655.288,1.2946892,1.6753972,0.44000006,1.4310684,1.7353258,0.26000023,-0.13637924,0.98,5.74,-0.44063663,0.24432874,-0.1809938,0.08227396,1.1599998,-0.4000001,0.32999992,6.0,0.17999983
118,7.51,7.89,8.26,9816.206,9621.473,1.6666304,1.8723562,0.37999964,1.6753972,1.2946892,0.44000006,-0.00876677,0.79000044,6.72,0.3719412,0.19695902,-0.44063663,0.24432874,0.73,1.1599998,0.98,7.16,-0.06000042
119,8.08,8.4,8.61,9802.531,9597.989,1.8818179,2.0144658,0.3199997,1.8723562,1.6666304,0.37999964,0.0094617605,0.5699997,7.51,0.21518755,0.14210963,0.3719412,0.19695902,0.50999975,0.73,0.79000044,7.89,-0.059999943
120,8.97,9.3,9.37,9781.256,9556.825,1.909427,2.2363563,0.32999992,2.0144658,1.8818179,0.3199997,-0.10503876,0.89000034,8.08,0.02760911,0.22189045,0.21518755,0.14210963,0.9000006,0.50999975,0.5699997,8.4,0.010000229
121,8.92,8.86,8.86,9782.449,9576.905,2.360868,2.2238905,-0.06000042,2.2363563,1.909427,0.32999992,0.12451172,-0.05000019,8.97,0.45144093,-0.012465715,0.02760911,0.22189045,-0.44000053,0.9000006,0.89000034,9.3,-0.39000034
122,8.16,8.22,8.29,9800.615,9606.265,2.3359315,2.034411,0.06000042,2.2238905,2.360868,-0.06000042,0.112041,-0.7600002,8.92,-0.024936438,-0.18947959,0.45144093,-0.012465715,-0.6399994,-0.44000053,-0.05000019,8.86,0.12000084
123,7.85,7.79,7.7,9808.045,9626.091,2.100507,1.9571233,-0.059999943,2.034411,2.3359315,0.06000042,0.06609607,-0.30999994,8.16,-0.23542452,-0.077287674,-0.024936438,-0.18947959,-0.4300003,-0.6399994,-0.7600002,8.22,-0.12000036
