,distid,intid,lunch,enrol,ptr,found,expp,revpp,avgsal,drop,grad,math4,math7,choice,psa,year,staff,avgben,y92,y93,y94,y95,y96,y97,y98,lexpp,lfound,lexpp_1,lfnd_1,lenrol,lenrolsq,lunchsq,lfndsq,math4_1,cmath4,gexpp,gexpp_1,gfound,gfnd_1,clunch,clnchsq,genrol,genrolsq,expp92,lexpp92,math4_92,cpi,rexpp,lrexpp,lrexpp_1,grexpp,grexpp_1
581,17000.0,17,31.8,759.0,,,5409,,24613.0,4.5,82.9,35.2,38.0,,,1992,233.6,4571.0,1,0,0,0,0,0,0,8.595819,,,,6.632002,43.983448,1011.2399,,,,,,,,,,,,,,,1.403,6187.7725,8.73033,,,
582,17000.0,17,31.7,268.0,,,3103,,27890.0,,,43.7,38.6,,,1993,81.5,6096.0,0,1,0,0,0,0,0,8.040125,,8.595819,,5.590987,31.259138,1004.8901,,35.2,8.5,-0.5556946,,,,-0.099998474,-6.3498535,-1.0410147,-12.72431,5409.0,8.595819,35.2,1.445,3446.5847,8.145139,8.73033,-0.5851917,
583,17000.0,17,31.9,232.0,,,2542,,26020.0,0.0,,43.9,50.8,,,1994,86.2,7846.0,0,0,1,0,0,0,0,7.8407063,,8.040125,,5.4467373,29.666946,1017.61,,43.7,0.20000076,-0.19941854,-0.5556946,,,0.19999886,12.71991,-0.14424992,-1.5921917,5409.0,8.595819,35.2,1.482,2752.9758,7.920438,8.145139,-0.22470093,-0.5851917
584,17000.0,17,37.88,692.0,20.1,4793.0,5317,5989.0,35148.0,3.66,86.4,50.8,41.3,,0.0,1995,,,0,0,0,1,0,0,0,8.578665,8.474912,7.8407063,,6.539586,42.766186,1434.8945,71.82413,43.9,6.8999977,0.73795843,-0.19941854,,,5.9800014,417.28455,1.0928488,13.099239,5409.0,8.595819,35.2,1.524,5599.596,8.630449,7.920438,0.7100115,-0.22470093
585,17000.0,17,37.74,264.0,20.5,0.0,3900,0.0,35779.0,0.0,,48.0,51.1,,0.0,1996,,,0,0,0,0,1,0,0,8.268732,,8.578665,8.474912,5.575949,31.09121,1424.3077,,50.8,-2.7999992,-0.3099327,0.73795843,,,-0.13999939,-10.586792,-0.9636369,-11.674976,5409.0,8.595819,35.2,1.569,3989.4836,8.291417,8.630449,-0.33903217,0.7100115
586,17000.0,17,38.03,661.0,19.4,5307.0,6064,6636.0,36694.0,3.9,84.9,48.0,41.0,8.0,190.0,1997,,,0,0,0,0,0,1,0,8.710125,8.576782,8.268732,,6.493754,42.16884,1446.2808,73.561195,48.0,0.0,0.4413929,-0.3099327,,,0.2899971,21.973022,0.9178047,11.077629,5409.0,8.595819,35.2,1.605,6064.0,8.710125,8.291417,0.41870785,-0.33903217
587,17000.0,17,41.25,659.0,18.7,5569.0,6295,7073.0,37539.0,4.3,84.1,67.0,59.0,13.0,181.0,1998,,,0,0,0,0,0,0,1,8.747511,8.62497,8.710125,8.576782,6.4907236,42.129494,1701.5625,74.390114,48.0,19.0,0.03738594,0.4413929,0.04818821,,3.2200012,255.28174,-0.0030303001,-0.039344788,5409.0,8.595819,35.2,1.63,6198.451,8.732055,8.710125,0.02192974,0.41870785
588,17010.0,17,37.6,3722.0,,,4290,,32622.0,8.1,71.1,28.2,25.0,,,1992,97.2,6983.0,1,0,0,0,0,0,0,8.364042,,,,8.222016,67.601555,1413.7599,,,,,,,,,,,,,,,1.403,4907.662,8.498553,,,
589,17010.0,17,40.3,3762.0,,,4261,,37758.0,6.7,76.2,31.1,27.3,,,1993,83.0,8764.0,0,1,0,0,0,0,0,8.357259,,8.364042,,8.232706,67.77745,1624.09,,28.2,2.8999996,-0.0067834854,,,,2.7000008,210.33008,0.010689735,0.17589569,4290.0,8.364042,28.2,1.445,4732.806,8.462274,8.498553,-0.03627968,
590,17010.0,17,36.1,3538.0,,,4400,,41508.0,5.7,77.4,28.8,30.7,,,1994,74.4,12475.0,0,0,1,0,0,0,0,8.389359,,8.357259,,8.171317,66.770424,1303.2098,,31.1,-2.3000011,0.032100677,-0.0067834854,,,-4.200001,-320.88013,-0.06138897,-1.0070267,4290.0,8.364042,28.2,1.482,4765.182,8.469091,8.462274,0.0068178177,-0.03627968
591,17010.0,17,33.41,3240.0,22.6,4517.0,5098,5669.0,37273.0,3.86,85.6,51.0,38.0,,0.0,1995,,,0,0,0,1,0,0,0,8.536604,8.415604,8.389359,,8.083328,65.340195,1116.2281,70.82239,28.8,22.2,0.14724445,0.032100677,,,-2.6899986,-186.98169,-0.08798885,-1.4302292,4290.0,8.364042,28.2,1.524,5368.9565,8.588388,8.469091,0.11929703,0.0068178177
592,17010.0,17,31.13,3133.0,21.6,4789.0,5591,6036.0,36681.0,3.99,85.3,49.2,45.3,,0.0,1996,,,0,0,0,0,1,0,0,8.628914,8.474077,8.536604,8.415604,8.0497465,64.798416,969.07684,71.80998,51.0,-1.7999992,0.09230995,0.14724445,0.058473587,,-2.2800007,-147.1513,-0.033581734,-0.54177856,4290.0,8.364042,28.2,1.569,5719.283,8.651599,8.588388,0.06321049,0.11929703
593,17010.0,17,34.19,3168.0,21.9,5062.0,5867,6163.0,38510.0,3.7,85.3,56.0,35.0,11.0,190.0,1997,,,0,0,0,0,0,1,0,8.677098,8.529517,8.628914,8.474077,8.060856,64.977394,1168.956,72.75266,49.2,6.799999,0.048184395,0.09230995,0.05543995,0.058473587,3.0599995,199.87921,0.011109352,0.17897797,4290.0,8.364042,28.2,1.605,5867.0,8.677098,8.651599,0.025499344,0.06321049
594,17010.0,17,36.24,3178.0,21.3,5330.0,6119,6556.0,39586.0,3.7,86.9,61.0,62.0,10.0,181.0,1998,,,0,0,0,0,0,0,1,8.719154,8.581106,8.677098,8.529517,8.064008,65.02822,1313.3378,73.63538,56.0,5.0,0.042056084,0.048184395,0.051589012,0.05543995,2.050003,144.38171,0.0031518936,0.050827026,4290.0,8.364042,28.2,1.63,6025.1504,8.703698,8.677098,0.026599884,0.025499344
595,17050.0,17,21.3,287.0,,,5922,,23817.0,3.9,83.6,50.0,29.2,,,1992,170.7,5453.0,1,0,0,0,0,0,0,8.68643,,,,5.659482,32.029736,453.68997,,,,,,,,,,,,,,,1.403,6774.633,8.82094,,,
596,17050.0,17,33.6,271.0,,,6577,,27490.0,2.0,92.6,33.3,37.0,,,1993,166.6,6355.0,0,1,0,0,0,0,0,8.791334,,8.68643,,5.602119,31.383738,1128.9598,,50.0,-16.7,0.104904175,,,,12.299999,675.2699,-0.057363033,-0.645998,5922.0,8.68643,50.0,1.445,7305.249,8.896348,8.82094,0.07540798,
597,17050.0,17,34.8,279.0,,,7044,,31095.0,0.0,100.0,52.0,70.0,,,1994,153.5,9428.0,0,0,1,0,0,0,0,8.859932,,8.791334,,5.6312118,31.710546,1211.0399,,33.3,18.7,0.06859779,0.104904175,,,1.2000008,82.08008,0.029092789,0.32680893,5922.0,8.68643,50.0,1.482,7628.6235,8.939663,8.896348,0.043314934,0.07540798
598,17050.0,17,38.31,295.0,15.4,7539.0,6984,8263.0,33940.0,0.0,100.0,75.0,50.0,,0.0,1995,,,0,0,0,1,0,0,0,8.8513775,8.927845,8.859932,,5.6869755,32.34169,1467.6562,79.70641,52.0,23.0,-0.008554459,0.06859779,,,3.5100021,256.61633,0.05576372,0.63114357,5922.0,8.68643,50.0,1.524,7355.197,8.903162,8.939663,-0.03650093,0.043314934
599,17050.0,17,41.38,291.0,15.2,7692.0,7267,8443.0,36305.0,-2.02,105.1,71.4,47.4,,0.0,1996,,,0,0,0,0,1,0,0,8.891099,8.947936,8.8513775,8.927845,5.673323,32.186596,1712.3044,80.06556,75.0,-3.5999985,0.03972149,-0.008554459,0.020091057,,3.0699997,244.6482,-0.013652325,-0.15509415,5922.0,8.68643,50.0,1.569,7433.738,8.913784,8.903162,0.010622025,-0.03650093
600,17050.0,17,37.28,291.0,15.0,7847.0,7815,8802.0,41648.0,2.8,88.6,44.0,63.0,0.0,,1997,,,0,0,0,0,0,1,0,8.9638,8.967887,8.891099,8.947936,5.673323,32.186596,1389.7983,80.423,71.4,-27.400002,0.072701454,0.03972149,0.019950867,0.020091057,-4.1000023,-322.5061,0.0,0.0,5922.0,8.68643,50.0,1.605,7815.0,8.9638,8.913784,0.050016403,0.010622025
601,17050.0,17,38.25,283.0,14.4,8001.0,7970,9007.0,36919.0,3.0,87.3,88.0,41.0,0.0,,1998,,,0,0,0,0,0,0,1,8.983439,8.987322,8.9638,8.967887,5.645447,31.871069,1463.0625,80.77196,44.0,44.0,0.019639015,0.072701454,0.019434929,0.019950867,0.9700012,73.26416,-0.027876377,-0.31552696,5922.0,8.68643,50.0,1.63,7847.7607,8.967983,8.9638,0.0041828156,0.050016403
602,17090.0,17,26.8,608.0,,,3692,,18646.0,0.0,100.0,34.5,23.5,,,1992,132.1,4086.0,1,0,0,0,0,0,0,8.213923,,,,6.410175,41.09034,718.2399,,,,,,,,,,,,,,,1.403,4223.564,8.348434,,,
603,17090.0,17,26.1,602.0,,,3850,,17898.0,0.0,100.0,55.2,27.5,,,1993,144.3,4345.0,0,1,0,0,0,0,0,8.255829,,8.213923,,6.4002576,40.9633,681.21,,34.5,20.7,0.041905403,,,,-0.69999886,-37.029907,-0.009917259,-0.12704086,3692.0,8.213923,34.5,1.445,4276.2974,8.360843,8.348434,0.0124082565,
604,17090.0,17,27.3,582.0,,,4046,,33647.0,3.7,84.0,28.9,28.2,,,1994,76.0,12155.0,0,0,1,0,0,0,0,8.305484,,8.255829,,6.3664703,40.531944,745.29,,55.2,-26.300001,0.04965496,0.041905403,,,1.1999989,64.079956,-0.03378725,-0.43135452,3692.0,8.213923,34.5,1.482,4381.802,8.385215,8.360843,0.0243721,0.0124082565
605,17090.0,17,27.25,405.0,20.0,5152.0,5457,6968.0,33717.0,1.45,93.7,40.7,44.8,,0.0,1995,,,0,0,0,1,0,0,0,8.604654,8.54714,8.305484,,6.003887,36.04666,742.5625,73.053604,28.9,11.800001,0.2991705,0.04965496,,,-0.049999237,-2.727478,-0.36258316,-4.485283,3692.0,8.213923,34.5,1.524,5747.037,8.65644,8.385215,0.27122498,0.0243721
606,17090.0,17,33.33,431.0,17.8,5305.0,5073,6430.0,31325.0,0.0,97.0,43.5,67.9,,0.0,1996,,,0,0,0,0,1,0,0,8.531688,8.576406,8.604654,8.54714,6.066108,36.79767,1110.889,73.55473,40.7,2.7999992,-0.072966576,0.2991705,0.029265404,,6.080002,368.32654,0.06222105,0.7510071,3692.0,8.213923,34.5,1.569,5189.3975,8.554373,8.65644,-0.10206699,0.27122498
607,17090.0,17,32.79,498.0,18.5,5460.0,5169,6887.0,34056.0,5.3,78.8,55.0,64.0,6.0,,1997,,,0,0,0,0,0,1,0,8.550434,8.605204,8.531688,8.576406,6.2106,38.571552,1075.1842,74.04953,43.5,11.5,0.018746376,-0.072966576,0.028798103,0.029265404,-0.5400009,-35.704834,0.14449167,1.7738838,3692.0,8.213923,34.5,1.605,5169.0,8.550434,8.554373,-0.003938675,-0.10206699
608,17090.0,17,31.16,503.0,17.9,5614.0,5242,8597.0,35253.0,1.4,94.2,79.0,67.0,14.0,,1998,,,0,0,0,0,0,0,1,8.564459,8.6330185,8.550434,8.605204,6.22059,38.69574,970.9456,74.52901,55.0,24.0,0.0140247345,0.018746376,0.027814865,0.028798103,-1.6300011,-104.23859,0.009990215,0.12418747,3692.0,8.213923,34.5,1.63,5161.601,8.549002,8.550434,-0.0014324188,-0.003938675
609,17110.0,17,34.2,1168.0,,,3613,,24733.0,-1.8,108.0,21.4,31.6,,,1992,105.8,4885.0,1,0,0,0,0,0,0,8.192294,,,,7.0630484,49.886654,1169.64,,,,,,,,,,,,,,,1.403,4133.1895,8.326805,,,
610,17110.0,17,34.8,1173.0,,,3817,,24134.0,5.3,82.5,25.4,29.1,,,1993,116.7,5171.0,0,1,0,0,0,0,0,8.24722,,8.192294,,7.06732,49.94701,1211.0399,,21.4,4.0,0.05492592,,,,0.5999985,41.399902,0.0042715073,0.06035614,3613.0,8.192294,21.4,1.445,4239.6436,8.352235,8.326805,0.025429726,
611,17110.0,17,39.2,1245.0,,,4218,,23673.0,6.5,77.0,42.9,39.4,,,1994,127.0,6514.0,0,0,1,0,0,0,0,8.347116,,8.24722,,7.1268907,50.792572,1536.64,,25.4,17.500002,0.09989643,0.05492592,,,4.4000015,325.6001,0.05957079,0.845562,3613.0,8.192294,21.4,1.482,4568.077,8.426847,8.352235,0.07461262,0.025429726
612,17110.0,17,39.61,1256.0,20.6,4201.0,4838,5250.0,32602.0,2.02,93.3,52.3,41.6,,0.0,1995,,,0,0,0,1,0,0,0,8.484257,8.343078,8.347116,,7.1356874,50.918034,1568.9521,69.60694,42.9,9.399998,0.13714027,0.09989643,,,0.40999985,32.312134,0.008796692,0.12546158,3613.0,8.192294,21.4,1.524,5095.1377,8.536042,8.426847,0.109194756,0.07461262
613,17110.0,17,39.99,1276.0,22.7,4507.0,5049,5542.0,37572.0,0.0,,41.7,49.1,,0.0,1996,,,0,0,0,0,1,0,0,8.526945,8.413387,8.484257,8.343078,7.1514854,51.143745,1599.2002,70.78509,52.3,-10.599998,0.04268837,0.13714027,0.07030964,,0.38000107,30.248047,0.015798092,0.22571182,3613.0,8.192294,21.4,1.569,5164.847,8.549631,8.536042,0.013588905,0.109194756
614,17110.0,17,41.44,1294.0,21.1,4817.0,5217,5763.0,35893.0,4.7,82.3,30.0,38.0,3.0,,1997,,,0,0,0,0,0,1,0,8.559678,8.479907,8.526945,8.413387,7.1654935,51.344296,1717.2734,71.90882,41.7,-11.700001,0.032732964,0.04268837,0.06651974,0.07030964,1.449997,118.07324,0.014008045,0.20055008,3613.0,8.192294,21.4,1.605,5217.0,8.559678,8.549631,0.010046959,0.013588905
615,17110.0,17,45.88,1279.0,19.9,5170.0,5335,6201.0,36234.0,3.1,87.6,62.0,67.0,0.0,,1998,,,0,0,0,0,0,0,1,8.582045,8.550628,8.559678,8.479907,7.153834,51.177338,2104.9746,73.113235,30.0,32.0,0.022366524,0.032732964,0.07072067,0.06651974,4.4400024,387.70117,-0.011659622,-0.16695786,3613.0,8.192294,21.4,1.63,5253.175,8.566587,8.559678,0.0069093704,0.010046959
616,17140.0,17,40.6,555.0,,,4591,,31008.0,4.2,83.8,32.4,22.2,,,1992,124.1,,1,0,0,0,0,0,0,8.431853,,,,6.3189683,39.92936,1648.3599,,,,,,,,,,,,,,,1.403,5251.9995,8.566364,,,
617,17140.0,17,44.9,546.0,,,5229,,31384.0,10.5,63.4,52.5,29.1,,,1993,109.9,9524.0,0,1,0,0,0,0,0,8.5619755,,8.431853,,6.302619,39.723007,2016.0101,,32.4,20.099998,0.13012218,,,,4.300003,367.65027,-0.016349316,-0.20635223,4591.0,8.431853,32.4,1.445,5807.9893,8.666989,8.566364,0.10062504,
618,17140.0,17,42.9,560.0,,,5301,,29709.0,3.3,87.5,28.3,36.5,,,1994,117.8,9004.0,0,0,1,0,0,0,0,8.575651,,8.5619755,,6.3279366,40.04278,1840.4102,,52.5,-24.2,0.01367569,0.13012218,,,-2.0,-175.59998,0.025317669,0.31977463,4591.0,8.431853,32.4,1.482,5740.9614,8.655382,8.666989,-0.01160717,0.10062504
619,17140.0,17,41.34,573.0,18.1,4511.0,5953,6501.0,32198.0,8.62,66.3,52.6,48.8,,0.0,1995,,,0,0,0,1,0,0,0,8.69165,8.414274,8.575651,,6.350886,40.33375,1708.9956,70.80001,28.3,24.3,0.11599922,0.01367569,,,-1.5600014,-131.41455,0.022949219,0.29096985,4591.0,8.431853,32.4,1.524,6269.3994,8.743436,8.655382,0.0880537,-0.01160717
620,17140.0,17,43.31,590.0,16.8,4783.0,5959,6724.0,30792.0,7.74,70.8,41.9,62.0,,0.0,1996,,,0,0,0,0,1,0,0,8.692658,8.472823,8.69165,8.414274,6.3801227,40.705967,1875.7562,71.788734,52.6,-10.699997,0.0010080338,0.11599922,0.058548927,,1.9700012,166.76062,0.029236794,0.37221527,4591.0,8.431853,32.4,1.569,6095.7266,8.715343,8.743436,-0.028092384,0.0880537
621,17140.0,17,39.2,597.0,16.7,5057.0,6158,7098.0,31206.0,4.9,77.5,41.0,32.0,3.0,,1997,,,0,0,0,0,0,1,0,8.725508,8.528529,8.692658,8.472823,6.391917,40.856606,1536.64,72.73581,41.9,-0.9000015,0.03284931,0.0010080338,0.055706024,0.058548927,-4.1100006,-339.1162,0.011794567,0.15063858,4591.0,8.431853,32.4,1.605,6158.0,8.725508,8.715343,0.010164261,-0.028092384
622,17140.0,17,36.03,605.0,16.2,5326.0,6283,7438.0,32651.0,5.3,79.8,68.0,52.0,11.0,,1998,,,0,0,0,0,0,0,1,8.745603,8.580356,8.725508,8.528529,6.4052286,41.026955,1298.1608,73.622505,41.0,27.0,0.020094872,0.03284931,0.051826477,0.055706024,-3.170002,-238.47925,0.013311386,0.17034912,4591.0,8.431853,32.4,1.63,6186.635,8.730146,8.725508,0.004638672,0.010164261
623,18010.0,18,29.1,1645.0,,,3428,,27117.0,0.0,100.3,39.8,33.9,,,1992,92.4,4935.0,1,0,0,0,0,0,0,8.139732,,,,7.4054956,54.841366,846.81,,,,,,,,,,,,,,,1.403,3921.5537,8.274243,,,
624,18010.0,18,32.2,1615.0,,,3743,,26589.0,1.1,95.8,27.8,52.9,,,1993,100.4,5197.0,0,1,0,0,0,0,0,8.227643,,8.139732,,7.38709,54.569103,1036.8401,,39.8,-12.0,0.08791065,,,,3.1000004,190.03009,-0.018405437,-0.27226257,3428.0,8.139732,39.8,1.445,4157.4497,8.332657,8.274243,0.058413506,
625,18010.0,18,33.4,1628.0,,,4243,,32094.0,4.7,81.8,43.6,50.9,,,1994,88.9,8746.0,0,0,1,0,0,0,0,8.353025,,8.227643,,7.3951077,54.68762,1115.56,,27.8,15.799999,0.12538242,0.08791065,,,1.2000008,78.71997,0.00801754,0.118515015,3428.0,8.139732,39.8,1.482,4595.152,8.432757,8.332657,0.10010052,0.058413506
626,18010.0,18,37.33,1527.0,20.2,4736.0,5006,5592.0,36778.0,3.84,84.3,54.2,59.1,,0.0,1995,,,0,0,0,1,0,0,0,8.518393,8.462948,8.353025,,7.3310604,53.744446,1393.529,71.62148,43.6,10.600002,0.16536713,0.12538242,,,3.9300003,277.969,-0.06404734,-0.94317245,3428.0,8.139732,39.8,1.524,5272.067,8.570178,8.432757,0.13742065,0.10010052
627,18010.0,18,34.41,1497.0,20.4,4984.0,5555,5999.0,40011.0,4.75,84.1,55.8,37.8,,0.0,1996,,,0,0,0,0,1,0,0,8.622454,8.5139885,8.518393,8.462948,7.3112183,53.45391,1184.0481,72.488,54.2,1.5999985,0.10406113,0.16536713,0.05104065,,-2.920002,-209.48096,-0.019842148,-0.29053497,3428.0,8.139732,39.8,1.569,5682.457,8.645139,8.570178,0.07496071,0.13742065
628,18010.0,18,36.84,1517.0,19.4,5231.0,5840,6162.0,40415.0,0.9,96.2,62.0,55.0,0.0,,1997,,,0,0,0,0,0,1,0,8.672486,8.562358,8.622454,8.5139885,7.32449,53.648155,1357.1857,73.31397,55.8,6.200001,0.050032616,0.10406113,0.048369408,0.05104065,2.4300003,173.13757,0.013271809,0.19424438,3428.0,8.139732,39.8,1.605,5840.0,8.672486,8.645139,0.027347565,0.07496071
629,18010.0,18,32.53,1552.0,19.4,5462.0,5914,6385.0,41427.0,0.7,97.1,69.0,63.0,0.0,,1998,,,0,0,0,0,0,0,1,8.685078,8.60557,8.672486,8.562358,7.3472996,53.98281,1058.2008,74.05583,62.0,7.0,0.012591362,0.050032616,0.043211937,0.048369408,-4.3100014,-298.98486,0.022809505,0.33465576,3428.0,8.139732,39.8,1.63,5823.2944,8.669621,8.672486,-0.0028648376,0.027347565
630,18020.0,18,50.2,1644.0,,,3537,,23735.0,4.6,81.7,29.0,34.1,,,1992,110.9,4460.0,1,0,0,0,0,0,0,8.171034,,,,7.4048877,54.832363,2520.04,,,,,,,,,,,,,,,1.403,4046.2473,8.305545,,,
631,18020.0,18,48.3,1656.0,,,3859,,25964.0,8.6,70.5,25.2,43.1,,,1993,110.1,5244.0,0,1,0,0,0,0,0,8.258163,,8.171034,,7.4121604,54.94012,2332.89,,29.0,-3.7999992,0.08712959,,,,-1.9000015,-187.15015,0.0072727203,0.10775757,3537.0,8.171034,29.0,1.445,4286.294,8.363177,8.305545,0.057632446,
632,18020.0,18,47.6,1653.0,,,4150,,27795.0,7.0,74.4,39.8,33.3,,,1994,107.9,7600.0,0,0,1,0,0,0,0,8.330864,,8.258163,,7.410347,54.913242,2265.7598,,25.2,14.599998,0.0727005,0.08712959,,,-0.70000076,-67.13013,-0.0018134117,-0.026878357,3537.0,8.171034,29.0,1.482,4494.433,8.410595,8.363177,0.04741764,0.057632446
633,18020.0,18,51.04,1634.0,20.0,4200.0,4935,5163.0,38402.0,6.18,77.0,42.3,40.9,,0.0,1995,,,0,0,0,1,0,0,0,8.504107,8.34284,8.330864,,7.398786,54.742035,2605.0818,69.60298,39.8,2.5,0.17324352,0.0727005,,,3.4400024,339.32202,-0.011560917,-0.17120743,3537.0,8.171034,29.0,1.524,5197.293,8.555893,8.410595,0.145298,0.04741764
634,18020.0,18,43.75,1712.0,23.5,4506.0,4649,5384.0,42054.0,3.32,87.8,31.0,43.9,,0.0,1996,,,0,0,0,0,1,0,0,8.444407,8.413165,8.504107,8.34284,7.4454174,55.43424,1914.0625,70.78135,42.3,-11.299999,-0.059700012,0.17324352,0.0703249,,-7.290001,-691.0193,0.046631336,0.6922035,3537.0,8.171034,29.0,1.569,4755.6694,8.4670925,8.555893,-0.08880043,0.145298
635,18020.0,18,44.92,1750.0,23.0,4816.0,5527,5979.0,43913.0,4.7,81.5,32.0,34.0,0.0,,1997,,,0,0,0,0,0,1,0,8.6174,8.479699,8.444407,8.413165,7.467371,55.76163,2017.8063,71.9053,31.0,1.0,0.1729927,-0.059700012,0.06653404,0.0703249,1.1699982,103.743774,0.021953583,0.32739258,3537.0,8.171034,29.0,1.605,5527.0,8.6174,8.4670925,0.15030766,-0.08880043
636,18020.0,18,46.35,1754.0,20.4,5170.0,5568,6157.0,45059.0,8.4,72.3,56.0,58.0,0.0,,1998,,,0,0,0,0,0,0,1,8.624791,8.550628,8.6174,8.479699,7.469654,55.79573,2148.3223,73.113235,32.0,24.0,0.007390976,0.1729927,0.07092857,0.06653404,1.4300003,130.51599,0.0022830963,0.03409958,3537.0,8.171034,29.0,1.63,5482.601,8.609335,8.6174,-0.008065224,0.15030766
637,18060.0,18,54.2,2073.0,,,3603,,25702.0,10.4,66.3,17.0,23.7,,,1992,99.0,6287.0,1,0,0,0,0,0,0,8.189522,,,,7.636752,58.319984,2937.6401,,,,,,,,,,,,,,,1.403,4121.75,8.324033,,,
638,18060.0,18,54.3,2171.0,,,3683,,28236.0,10.6,65.6,25.3,32.4,,,1993,93.2,6957.0,0,1,0,0,0,0,0,8.211483,,8.189522,,7.6829433,59.02762,2948.49,,17.0,8.299999,0.021961212,,,,0.099998474,10.8498535,0.046191216,0.707634,3603.0,8.189522,17.0,1.445,4090.8062,8.316498,8.324033,-0.007534981,
639,18060.0,18,53.5,2279.0,,,3908,,28162.0,8.4,75.4,23.5,21.6,,,1994,94.4,9074.0,0,0,1,0,0,0,0,8.270781,,8.211483,,7.731492,59.77597,2862.25,,25.3,-1.7999992,0.05929756,0.021961212,,,-0.79999924,-86.23999,0.0485487,0.74835205,3603.0,8.189522,17.0,1.482,4232.348,8.3505125,8.316498,0.0340147,-0.007534981
640,18060.0,18,61.18,2266.0,24.2,4200.0,4740,5738.0,39036.0,8.16,73.4,39.7,46.3,,0.0,1995,,,0,0,0,1,0,0,0,8.463793,8.34284,8.270781,,7.7257714,59.687546,3742.9924,69.60298,23.5,16.2,0.19301224,0.05929756,,,7.6800003,880.74243,-0.0057206154,-0.08842468,3603.0,8.189522,17.0,1.524,4991.929,8.515577,8.3505125,0.16506481,0.0340147
641,18060.0,18,58.86,2318.0,24.1,4506.0,5079,5734.0,41615.0,8.18,74.6,54.4,53.2,,0.0,1996,,,0,0,0,0,1,0,0,8.532869,8.413165,8.463793,8.34284,7.74846,60.038628,3464.4998,70.78135,39.7,14.700001,0.06907654,0.19301224,0.0703249,,-2.3199997,-278.49268,0.022688389,0.35108185,3603.0,8.189522,17.0,1.569,5195.535,8.555555,8.515577,0.039978027,0.16506481
642,18060.0,18,57.01,2347.0,23.5,4816.0,5467,5777.0,43325.0,12.0,64.4,37.0,42.0,0.0,,1997,,,0,0,0,0,0,1,0,8.606485,8.479699,8.532869,8.413165,7.7608933,60.231464,3250.14,71.9053,54.4,-17.400002,0.07361603,0.06907654,0.06653404,0.0703249,-1.8500023,-214.35986,0.012433529,0.19283676,3603.0,8.189522,17.0,1.605,5467.0,8.606485,8.555555,0.050930023,0.039978027
643,18060.0,18,60.99,2350.0,22.6,5170.0,5743,6563.0,44555.0,3.0,88.0,68.0,70.0,0.0,,1998,,,0,0,0,0,0,0,1,8.655737,8.550628,8.606485,8.479699,7.762171,60.251297,3719.7803,73.113235,37.0,31.0,0.049251556,0.07361603,0.07092857,0.06653404,3.9800034,469.64038,0.0012774467,0.019832611,3603.0,8.189522,17.0,1.63,5654.917,8.640281,8.606485,0.033795357,0.050930023
644,19010.0,19,7.0,2023.0,,,3864,,30291.0,0.0,99.4,53.8,54.6,,,1992,92.5,5324.0,1,0,0,0,0,0,0,8.259459,,,,7.6123366,57.94767,49.0,,,,,,,,,,,,,,,1.403,4420.3276,8.39397,,,
645,19010.0,19,6.9,2119.0,,,4018,,33345.0,3.1,87.2,53.6,60.0,,,1993,89.2,6373.0,0,1,0,0,0,0,0,8.298539,,8.259459,,7.6586995,58.655678,47.61,,53.8,-0.20000076,0.03908062,,,,-0.099999905,-1.3899994,0.046362877,0.7080078,3864.0,8.259459,53.8,1.445,4462.8994,8.403554,8.39397,0.009584427,
646,19010.0,19,6.8,2205.0,,,4342,,33104.0,1.9,92.6,68.6,69.0,,,1994,92.7,8819.0,0,0,1,0,0,0,0,8.37609,,8.298539,,7.698483,59.26664,46.24,,53.6,15.0,0.07755089,0.03908062,,,-0.099999905,-1.3699989,0.039783478,0.6109619,3864.0,8.259459,53.8,1.482,4702.3687,8.455822,8.403554,0.05226803,0.009584427
647,19010.0,19,5.6,2226.0,23.1,4948.0,5087,5461.0,47215.0,0.34,98.8,76.6,61.9,,0.0,1995,,,0,0,0,1,0,0,0,8.534444,8.506739,8.37609,,7.7079616,59.41267,31.359999,72.3646,68.6,8.0,0.1583538,0.07755089,,,-1.2000003,-14.880003,0.009478569,0.14603043,3864.0,8.259459,53.8,1.524,5357.372,8.586229,8.455822,0.13040733,0.05226803
648,19010.0,19,5.07,2338.0,23.2,5153.0,5196,5562.0,48027.0,-2.47,112.6,68.2,62.2,,0.0,1996,,,0,0,0,0,1,0,0,8.555644,8.547335,8.534444,8.506739,7.757051,60.17184,25.704903,73.05693,76.6,-8.400002,0.02120018,0.1583538,0.04059601,,-0.52999973,-5.655096,0.04908943,0.75917053,3864.0,8.259459,53.8,1.569,5315.2197,8.57833,8.586229,-0.007899284,0.13040733
649,19010.0,19,5.2,2482.0,24.4,5308.0,5296,5748.0,51581.0,3.7,85.7,70.0,71.0,0.0,,1997,,,0,0,0,0,0,1,0,8.574707,8.57697,8.555644,8.547335,7.81682,61.102676,27.039997,73.564415,68.2,1.800003,0.019062996,0.02120018,0.02963543,0.04059601,0.12999964,1.3350945,0.059769154,0.9308357,3864.0,8.259459,53.8,1.605,5296.0,8.574707,8.57833,-0.0036230087,-0.007899284
