,educ,south,nonwhite,female,married,exper,expersq,union,lwage,age,year,y85,y85fem,y85educ,y85union
395,14,1,0,0,1,34,1156,0,3.3514,53,78,0,0,0,0
396,10,1,0,0,1,9,81,1,1.3218,24,78,0,0,0,0
397,10,1,0,0,1,36,1296,0,1.7918,51,78,0,0,0,0
398,10,1,0,0,1,14,196,0,1.6094,29,78,0,0,0,0
399,12,0,0,1,1,2,4,0,1.1291,19,78,0,0,0,0
400,8,0,0,0,1,32,1024,1,1.6487,45,78,0,0,0,0
401,14,0,0,1,0,39,1521,0,1.9459,58,78,0,0,0,0
402,12,0,0,1,1,9,81,0,0.865,26,78,0,0,0,0
403,18,0,0,0,1,3,9,0,1.9373,26,78,0,0,0,0
404,10,0,0,0,1,8,64,0,0.865,23,78,0,0,0,0
405,16,0,0,0,1,7,49,0,1.3806,28,78,0,0,0,0
406,14,0,0,0,1,7,49,0,1.6094,26,78,0,0,0,0
407,13,0,0,0,1,4,16,0,1.8326,22,78,0,0,0,0
408,16,0,0,0,0,5,25,0,1.6677,26,78,0,0,0,0
409,14,1,1,0,0,6,36,0,1.0986,25,78,0,0,0,0
410,12,1,0,0,1,37,1369,0,1.8795,54,78,0,0,0,0
411,6,1,1,0,0,11,121,0,1.0986,22,78,0,0,0,0
412,8,1,0,1,0,41,1681,1,1.6094,54,78,0,0,0,0
413,12,1,1,1,0,30,900,0,2.7444,47,78,0,0,0,0
414,16,1,0,0,1,13,169,0,2.1638,34,78,0,0,0,0
415,18,0,0,1,0,4,16,0,1.6094,27,78,0,0,0,0
416,12,0,0,1,1,16,256,0,1.7272,33,78,0,0,0,0
417,13,0,0,0,1,8,64,1,1.3083,26,78,0,0,0,0
418,16,0,0,0,1,32,1024,0,2.0149,53,78,0,0,0,0
419,12,0,0,1,0,6,36,0,0.9704,23,78,0,0,0,0
420,14,0,0,1,1,30,900,0,1.361,49,78,0,0,0,0
421,12,0,0,1,0,1,1,0,1.0986,18,78,0,0,0,0
422,12,0,0,0,0,4,16,1,1.6487,21,78,0,0,0,0
423,13,0,0,0,1,41,1681,1,2.6912,59,78,0,0,0,0
424,12,0,0,0,1,22,484,1,2.0412,39,78,0,0,0,0
425,12,0,0,0,1,22,484,0,1.7619,39,78,0,0,0,0
426,15,0,0,0,1,31,961,1,2.5257,51,78,0,0,0,0
427,16,0,0,1,0,2,4,1,1.8524,23,78,0,0,0,0
428,15,0,0,0,1,19,361,1,2.0794,39,78,0,0,0,0
429,12,0,0,1,1,14,196,0,1.8101,31,78,0,0,0,0
430,11,0,0,1,0,16,256,0,1.204,32,78,0,0,0,0
431,12,1,0,0,0,3,9,0,1.3466,20,78,0,0,0,0
432,12,1,0,0,1,3,9,1,1.5146,20,78,0,0,0,0
433,8,1,0,0,1,30,900,1,2.1102,43,78,0,0,0,0
434,12,1,0,1,0,3,9,0,0.9163,20,78,0,0,0,0
435,4,1,1,0,1,55,3025,0,1.1474,64,78,0,0,0,0
436,12,1,0,0,0,3,9,0,1.1394,20,78,0,0,0,0
437,11,1,0,0,1,19,361,1,2.5257,35,78,0,0,0,0
438,9,1,0,1,0,27,729,1,1.4553,41,78,0,0,0,0
439,12,1,0,0,1,9,81,1,1.7918,26,78,0,0,0,0
440,12,0,1,0,0,13,169,0,1.4351,30,78,0,0,0,0
441,16,0,0,0,1,31,961,0,2.5494,52,78,0,0,0,0
442,12,0,0,1,0,16,256,0,1.5422,33,78,0,0,0,0
443,11,0,0,0,0,4,16,0,0.9746,20,78,0,0,0,0
444,16,0,0,0,1,3,9,0,2.0015,24,78,0,0,0,0
445,16,0,0,1,0,4,16,0,1.4469,25,78,0,0,0,0
446,12,0,0,1,1,36,1296,1,1.3218,53,78,0,0,0,0
447,9,1,0,0,1,6,36,0,1.6094,20,78,0,0,0,0
448,12,1,0,0,1,19,361,0,1.9867,36,78,0,0,0,0
449,18,1,0,0,1,14,196,0,2.0669,37,78,0,0,0,0
450,12,0,0,0,1,38,1444,0,1.461,55,78,0,0,0,0
451,13,0,0,0,1,8,64,1,1.8101,26,78,0,0,0,0
452,12,0,0,1,1,4,16,0,1.5581,21,78,0,0,0,0
453,15,0,0,0,0,12,144,0,1.8326,32,78,0,0,0,0
454,12,0,0,0,1,41,1681,0,2.4445,58,78,0,0,0,0
455,12,0,0,1,1,24,576,0,1.743,41,78,0,0,0,0
456,11,0,0,0,1,17,289,0,1.7918,33,78,0,0,0,0
457,12,0,0,1,1,8,64,0,1.1787,25,78,0,0,0,0
458,12,0,0,0,0,2,4,0,1.3863,19,78,0,0,0,0
459,12,0,0,0,1,2,4,0,1.2448,19,78,0,0,0,0
460,12,0,0,1,1,39,1521,0,1.4469,56,78,0,0,0,0
461,12,0,0,0,1,6,36,0,2.5257,23,78,0,0,0,0
462,9,0,0,1,1,34,1156,0,1.0296,48,78,0,0,0,0
463,17,0,0,0,1,14,196,0,2.0149,36,78,0,0,0,0
464,17,0,0,0,1,7,49,0,2.0949,29,78,0,0,0,0
465,10,0,0,1,0,46,2116,0,0.9943,61,78,0,0,0,0
466,18,0,0,0,1,4,16,0,1.9279,27,78,0,0,0,0
467,12,0,0,1,1,12,144,0,0.5596,29,78,0,0,0,0
468,12,0,0,1,1,6,36,0,1.2164,23,78,0,0,0,0
469,6,0,0,0,1,15,225,0,1.4469,26,78,0,0,0,0
470,13,0,0,0,1,12,144,1,1.5041,30,78,0,0,0,0
471,17,0,0,0,1,15,225,0,2.1691,37,78,0,0,0,0
472,12,0,0,0,1,15,225,0,2.0794,32,78,0,0,0,0
473,12,0,1,1,1,12,144,1,1.1151,29,78,0,0,0,0
474,12,0,0,0,1,23,529,0,1.679,40,78,0,0,0,0
475,14,0,0,0,0,41,1681,0,2.1848,60,78,0,0,0,0
476,12,0,0,1,0,42,1764,0,1.5041,59,78,0,0,0,0
477,12,0,0,0,1,10,100,0,1.7047,27,78,0,0,0,0
478,10,0,0,0,1,20,400,0,1.4586,35,78,0,0,0,0
479,13,0,0,0,1,4,16,1,1.7297,22,78,0,0,0,0
480,16,0,0,1,1,11,121,1,1.8326,32,78,0,0,0,0
481,12,0,0,1,0,6,36,0,1.1394,23,78,0,0,0,0
482,14,0,0,0,1,19,361,0,1.2496,38,78,0,0,0,0
483,12,0,0,0,1,32,1024,0,2.2401,49,78,0,0,0,0
484,12,0,0,0,1,21,441,0,1.3863,38,78,0,0,0,0
485,11,0,0,0,1,39,1521,0,1.2164,55,78,0,0,0,0
486,18,0,0,0,1,15,225,0,2.0815,38,78,0,0,0,0
487,12,0,0,1,1,25,625,1,1.5943,42,78,0,0,0,0
488,12,0,0,1,0,18,324,0,1.0733,35,78,0,0,0,0
489,12,0,0,1,1,21,441,0,1.7047,38,78,0,0,0,0
490,17,0,0,1,1,11,121,1,2.2437,33,78,0,0,0,0
491,14,0,0,0,0,6,36,0,1.1394,25,78,0,0,0,0
492,12,0,1,0,0,5,25,1,0.8755,22,78,0,0,0,0
493,15,1,1,1,1,12,144,0,2.1041,32,78,0,0,0,0
494,8,1,1,0,1,44,1936,0,1.0986,57,78,0,0,0,0
495,16,1,1,1,0,7,49,0,2.1691,28,78,0,0,0,0
496,16,1,1,1,0,25,625,0,1.3481,46,78,0,0,0,0
497,12,0,0,1,0,5,25,1,1.0986,22,78,0,0,0,0
498,12,0,0,0,1,27,729,0,2.0794,44,78,0,0,0,0
499,10,0,0,1,0,36,1296,1,1.2936,51,78,0,0,0,0
500,12,0,0,0,0,31,961,0,2.1401,48,78,0,0,0,0
501,14,0,0,0,0,27,729,0,2.4049,46,78,0,0,0,0
502,13,0,0,1,1,44,1936,0,1.3987,62,78,0,0,0,0
503,16,0,0,1,0,7,49,0,1.4291,28,78,0,0,0,0
504,12,0,0,0,0,13,169,1,1.9913,30,78,0,0,0,0
505,14,0,0,1,1,36,1296,0,1.3545,55,78,0,0,0,0
506,12,0,0,1,0,4,16,0,1.2669,21,78,0,0,0,0
507,12,0,0,0,1,30,900,1,2.0477,47,78,0,0,0,0
508,10,0,0,0,1,16,256,0,1.6094,31,78,0,0,0,0
509,17,0,0,0,1,15,225,1,2.0149,37,78,0,0,0,0
510,13,0,0,1,0,2,4,0,0.9725,20,78,0,0,0,0
511,12,0,0,0,1,32,1024,1,1.8326,49,78,0,0,0,0
512,12,0,0,0,1,9,81,0,1.204,26,78,0,0,0,0
513,18,0,0,0,1,21,441,0,2.3026,44,78,0,0,0,0
514,12,0,0,1,1,4,16,0,1.2528,21,78,0,0,0,0
515,13,0,0,1,1,35,1225,0,1.5041,53,78,0,0,0,0
516,14,0,0,1,1,5,25,0,1.3863,24,78,0,0,0,0
517,12,0,0,1,0,1,1,0,1.0116,18,78,0,0,0,0
518,10,0,0,0,0,3,9,0,1.3657,18,78,0,0,0,0
519,12,0,0,1,0,3,9,0,1.3218,20,78,0,0,0,0
520,12,0,0,0,1,21,441,0,2.3026,38,78,0,0,0,0
521,12,0,0,0,1,6,36,0,2.0149,23,78,0,0,0,0
522,18,1,0,0,0,34,1156,0,3.2179,57,78,0,0,0,0
523,12,1,0,1,0,22,484,0,1.6094,39,78,0,0,0,0
524,17,1,0,0,1,16,256,0,2.584,38,78,0,0,0,0
525,13,0,0,1,0,4,16,0,1.3218,22,78,0,0,0,0
526,18,0,0,0,1,15,225,0,2.1019,38,78,0,0,0,0
527,13,0,0,0,1,26,676,0,1.6784,44,78,0,0,0,0
528,17,0,0,1,1,19,361,1,1.7492,41,78,0,0,0,0
529,7,0,0,0,1,43,1849,0,0.9746,55,78,0,0,0,0
530,8,0,0,0,1,18,324,0,1.8718,31,78,0,0,0,0
531,17,0,0,0,1,10,100,1,1.6094,32,78,0,0,0,0
532,10,0,0,0,0,3,9,0,0.7985,18,78,0,0,0,0
533,9,0,0,0,1,46,2116,0,1.204,60,78,0,0,0,0
534,12,0,0,1,1,10,100,1,1.4171,27,78,0,0,0,0
535,17,0,0,0,1,5,25,1,1.8871,27,78,0,0,0,0
536,14,0,0,0,0,5,25,0,1.6503,24,78,0,0,0,0
537,12,0,0,1,0,7,49,0,1.1925,24,78,0,0,0,0
538,12,0,0,0,1,15,225,1,2.3933,32,78,0,0,0,0
539,12,0,0,0,1,31,961,1,2.1889,48,78,0,0,0,0
540,12,0,0,0,1,39,1521,0,2.5257,56,78,0,0,0,0
541,14,0,0,0,1,8,64,0,1.6094,27,78,0,0,0,0
542,13,0,0,1,1,28,784,0,0.9163,46,78,0,0,0,0
543,16,0,0,1,0,10,100,1,2.4145,31,78,0,0,0,0
544,12,0,0,0,1,36,1296,1,2.5257,53,78,0,0,0,0
545,15,0,0,1,1,3,9,1,2.0794,23,78,0,0,0,0
546,12,0,0,0,1,27,729,1,2.6583,44,78,0,0,0,0
547,8,0,0,0,1,47,2209,1,2.4744,60,78,0,0,0,0
548,12,0,0,1,0,39,1521,1,2.6391,56,78,0,0,0,0
549,15,0,0,0,0,12,144,0,2.5257,32,78,0,0,0,0
550,10,0,0,0,1,27,729,0,2.1972,43,85,1,0,10,0
551,12,0,0,0,1,20,400,0,1.7047,38,85,1,0,12,0
552,12,0,0,1,0,4,16,0,1.335,22,85,1,1,12,0
553,12,0,0,1,1,29,841,0,2.3514,47,85,1,1,12,0
554,12,0,0,0,1,40,1600,1,2.708,58,85,1,0,12,1
555,16,0,0,1,1,27,729,0,2.1972,49,85,1,1,16,0
556,12,0,0,1,1,5,25,1,2.2586,23,85,1,1,12,1
557,14,0,0,0,0,22,484,0,2.708,42,85,1,0,14,0
558,8,0,0,0,1,42,1764,0,2.3979,56,85,1,0,8,0
559,12,0,0,1,1,14,196,0,1.6094,32,85,1,1,12,0
560,17,0,0,0,1,18,324,0,3.2179,41,85,1,0,17,0
561,17,0,0,0,0,3,9,0,3.0155,26,85,1,0,17,0
562,14,0,0,0,0,4,16,1,3.2189,24,85,1,0,14,1
563,14,0,0,0,0,14,196,0,2.6376,34,85,1,0,14,0
564,12,0,0,0,1,35,1225,0,1.2528,53,85,1,0,12,0
565,14,0,0,0,0,0,0,0,1.6094,20,85,1,0,14,0
566,16,0,0,0,1,7,49,1,2.3026,29,85,1,0,16,1
567,16,0,1,0,1,26,676,1,2.708,48,85,1,0,16,1
568,13,0,1,0,0,3,9,0,1.763,22,85,1,0,13,0
569,13,0,0,0,0,16,256,0,2.2083,35,85,1,0,13,0
570,17,0,1,1,1,32,1024,0,2.4204,55,85,1,1,17,0
571,12,0,1,0,1,25,625,1,2.5649,43,85,1,0,12,1
572,14,0,0,1,0,15,225,1,2.0794,35,85,1,1,14,1
573,12,0,0,1,1,38,1444,0,1.454,56,85,1,1,12,0
574,16,0,1,0,1,17,289,0,2.0637,39,85,1,0,16,0
575,12,0,0,1,0,7,49,0,1.9379,25,85,1,1,12,0
576,17,0,0,1,0,5,25,0,3.2179,28,85,1,1,17,0
577,14,0,0,0,1,22,484,0,2.3026,42,85,1,0,14,0
578,14,0,0,0,1,21,441,0,2.621,41,85,1,0,14,0
579,13,0,0,1,1,2,4,0,1.7272,21,85,1,1,13,0
580,14,0,1,0,1,16,256,0,2.6858,36,85,1,0,14,0
581,16,0,0,0,1,18,324,0,3.2179,40,85,1,0,16,0
582,12,0,0,0,1,14,196,0,2.4849,32,85,1,0,12,0
583,18,0,0,0,1,12,144,0,2.708,36,85,1,0,18,0
584,16,0,0,0,0,3,9,0,1.7535,25,85,1,0,16,0
585,17,0,0,1,1,13,169,0,2.5377,36,85,1,1,17,0
586,16,0,0,1,0,42,1764,0,2.4605,64,85,1,1,16,0
587,12,0,0,0,1,8,64,0,2.5649,26,85,1,0,12,0
588,15,0,0,1,1,6,36,0,2.5257,27,85,1,1,15,0
589,16,0,0,0,1,22,484,0,3.1135,44,85,1,0,16,0
590,16,0,1,1,0,3,9,0,2.4204,25,85,1,1,16,0
591,16,0,0,0,1,33,1089,0,2.7331,55,85,1,0,16,0
592,13,0,0,1,0,8,64,1,2.0412,27,85,1,1,13,1
593,12,0,0,0,1,26,676,0,2.4715,44,85,1,0,12,0
594,14,0,0,0,1,0,0,0,1.6094,20,85,1,0,14,0
595,12,0,0,0,1,28,784,0,1.8718,46,85,1,0,12,0
596,8,0,0,0,1,33,1089,1,2.1972,47,85,1,0,8,1
597,12,0,0,0,0,0,0,0,1.209,18,85,1,0,12,0
598,12,0,0,1,1,7,49,0,1.5041,25,85,1,1,12,0
599,14,0,0,1,1,12,144,0,2.3539,32,85,1,1,14,0
600,9,0,0,0,1,47,2209,1,1.2528,62,85,1,0,9,1
601,16,0,0,0,1,12,144,0,2.708,34,85,1,0,16,0
602,12,0,0,1,0,25,625,0,2.1401,43,85,1,1,12,0
603,12,0,0,1,1,44,1936,0,2.2159,62,85,1,1,12,0
604,9,0,0,0,0,33,1089,1,2.2618,48,85,1,0,9,1
605,8,0,0,1,1,22,484,0,1.9279,36,85,1,1,8,0
606,18,0,0,1,1,14,196,0,2.6355,38,85,1,1,18,0
607,14,0,1,0,0,22,484,0,2.3026,42,85,1,0,14,0
608,12,0,0,1,0,41,1681,0,1.3218,59,85,1,1,12,0
609,12,0,0,1,0,8,64,0,2.0794,26,85,1,1,12,0
610,12,0,0,1,1,43,1849,0,2.4567,61,85,1,1,12,0
611,8,0,1,1,0,29,841,0,2.1844,43,85,1,1,8,0
612,12,0,1,0,0,6,36,1,1.3863,24,85,1,0,12,1
613,12,0,1,1,0,21,441,0,1.7047,39,85,1,1,12,0
614,16,0,1,0,0,3,9,0,1.209,25,85,1,0,16,0
615,12,0,0,1,1,40,1600,0,2.3805,58,85,1,1,12,0
616,12,0,0,0,1,5,25,0,1.9459,23,85,1,0,12,0
617,13,0,0,0,1,34,1156,1,2.3026,53,85,1,0,13,1
618,16,0,0,1,1,10,100,0,1.6864,32,85,1,1,16,0
619,12,0,0,1,0,10,100,0,2.0149,28,85,1,1,12,0
620,12,0,0,0,1,41,1681,1,2.4204,59,85,1,0,12,1
621,10,0,0,1,1,25,625,1,2.3026,41,85,1,1,10,1
622,13,0,0,0,0,0,0,0,1.3863,19,85,1,0,13,0
623,18,0,0,0,1,14,196,1,2.6037,38,85,1,0,18,1
624,12,0,0,0,0,22,484,0,1.9095,40,85,1,0,12,0
625,14,0,0,1,1,32,1024,0,2.6593,52,85,1,1,14,0
626,15,0,0,1,1,9,81,0,2.2773,30,85,1,1,15,0
627,12,0,0,1,0,0,0,0,1.209,18,85,1,1,12,0
628,8,0,0,1,0,49,2401,0,1.2238,63,85,1,1,8,0
629,14,0,0,1,1,32,1024,0,1.7272,52,85,1,1,14,0
630,12,0,0,0,1,7,49,1,1.9459,25,85,1,0,12,1
631,16,0,0,1,1,10,100,0,2.3026,32,85,1,1,16,0
632,10,0,0,1,0,44,1936,1,1.8083,60,85,1,1,10,1
633,12,0,0,1,1,27,729,0,1.4279,45,85,1,1,12,0
634,12,0,0,1,1,16,256,0,1.5686,34,85,1,1,12,0
635,12,0,0,0,1,3,9,0,1.7492,21,85,1,0,12,0
636,12,0,0,0,1,8,64,0,1.5581,26,85,1,0,12,0
637,17,0,0,0,1,7,49,1,2.238,30,85,1,0,17,1
638,12,0,0,1,0,8,64,0,1.6582,26,85,1,1,12,0
639,9,0,0,1,1,42,1764,0,1.5994,57,85,1,1,9,0
640,16,0,0,1,1,11,121,0,2.964,33,85,1,1,16,0
641,12,0,0,0,1,23,529,0,2.9947,41,85,1,0,12,0
642,12,0,0,0,0,4,16,0,1.3863,22,85,1,0,12,0
643,12,0,0,1,0,0,0,0,1.6094,18,85,1,1,12,0
644,14,0,0,0,1,25,625,0,2.359,45,85,1,0,14,0
645,12,0,1,0,0,22,484,1,2.3026,40,85,1,0,12,1
646,14,0,0,1,0,15,225,0,1.9981,35,85,1,1,14,0
647,15,0,0,0,0,10,100,0,2.5257,31,85,1,0,15,0
648,16,0,0,1,0,20,400,0,1.3863,42,85,1,1,16,0
649,12,0,0,1,1,24,576,0,2.7101,42,85,1,1,12,0
650,12,1,0,0,1,12,144,0,2.7726,30,85,1,0,12,0
651,12,1,0,1,0,12,144,0,1.2698,30,85,1,1,12,0
652,12,1,0,0,0,16,256,0,1.5041,34,85,1,0,12,0
653,12,1,0,1,0,4,16,0,1.5151,22,85,1,1,12,0
654,12,1,0,1,1,43,1849,0,1.2809,61,85,1,1,12,0
655,12,1,0,1,1,14,196,0,2.0794,32,85,1,1,12,0
656,12,1,0,1,0,10,100,0,1.5581,28,85,1,1,12,0
657,12,1,0,0,1,2,4,0,1.9066,20,85,1,0,12,0
658,12,1,0,0,1,28,784,0,2.4079,46,85,1,0,12,0
659,7,1,0,1,1,15,225,0,1.7918,28,85,1,1,7,0
660,12,1,0,0,1,20,400,0,2.3026,38,85,1,0,12,0
661,12,1,0,1,1,30,900,0,2.4204,48,85,1,1,12,0
662,12,1,0,1,1,9,81,0,1.3737,27,85,1,1,12,0
663,16,1,1,0,1,13,169,0,2.8622,35,85,1,0,16,0
664,13,1,0,1,0,1,1,0,1.2669,20,85,1,1,13,0
665,16,1,0,0,0,8,64,0,1.7918,30,85,1,0,16,0
666,14,1,0,0,1,15,225,0,3.091,35,85,1,0,14,0
667,12,1,0,1,0,6,36,0,1.8326,24,85,1,1,12,0
668,7,1,0,0,1,14,196,0,1.5041,27,85,1,0,7,0
669,13,1,0,1,0,28,784,0,2.3341,47,85,1,1,13,0
670,14,1,0,0,1,10,100,0,2.5014,30,85,1,0,14,0
671,17,1,0,0,0,14,196,0,2.8994,37,85,1,0,17,0
672,16,1,0,0,1,10,100,0,2.708,32,85,1,0,16,0
673,13,1,0,1,1,10,100,0,2.1691,29,85,1,1,13,0
674,14,1,0,0,1,44,1936,0,2.9947,64,85,1,0,14,0
675,16,0,0,1,0,10,100,1,1.8971,32,85,1,1,16,1
676,14,0,0,0,1,22,484,1,2.2644,42,85,1,0,14,1
677,11,0,0,0,1,18,324,1,1.7047,35,85,1,0,11,1
678,12,0,0,1,0,9,81,0,2.0794,27,85,1,1,12,0
679,18,0,0,1,1,19,361,0,2.9957,43,85,1,1,18,0
680,17,0,0,1,1,14,196,0,2.2513,37,85,1,1,17,0
681,16,0,0,1,0,6,36,1,2.4672,28,85,1,1,16,1
682,16,0,0,1,0,17,289,0,2.6311,39,85,1,1,16,0
683,11,0,0,1,1,24,576,0,1.7047,41,85,1,1,11,0
684,11,0,0,1,0,12,144,0,1.9459,29,85,1,1,11,0
685,12,0,0,1,1,38,1444,0,2.267,56,85,1,1,12,0
686,15,0,0,1,0,33,1089,0,2.3618,54,85,1,1,15,0
687,2,0,0,0,0,16,256,0,1.3218,24,85,1,0,2,0
688,14,0,0,1,1,10,100,0,2.4849,30,85,1,1,14,0
689,14,0,0,1,1,14,196,0,2.1471,34,85,1,1,14,0
690,14,0,0,0,0,16,256,0,2.7813,36,85,1,0,14,0
691,11,0,0,0,0,11,121,0,1.3218,28,85,1,0,11,0
692,16,0,1,1,1,6,36,0,2.1972,28,85,1,1,16,0
693,12,0,1,1,1,33,1089,0,2.5745,51,85,1,1,12,0
694,16,0,0,0,0,10,100,0,2.5802,32,85,1,0,16,0
695,12,0,0,0,0,19,361,0,2.2246,37,85,1,0,12,0
696,12,0,0,0,0,4,16,0,1.6094,22,85,1,0,12,0
697,17,0,0,1,0,3,9,1,1.7918,26,85,1,1,17,1
698,12,0,0,1,1,32,1024,0,1.9459,50,85,1,1,12,0
699,8,0,0,0,1,19,361,0,1.5476,33,85,1,0,8,0
700,16,0,0,1,1,22,484,0,2.0149,44,85,1,1,16,0
701,18,0,0,0,1,33,1089,0,1.9459,57,85,1,0,18,0
702,18,0,0,0,1,19,361,0,2.4174,43,85,1,0,18,0
703,18,0,0,0,1,3,9,0,1.743,27,85,1,0,18,0
704,12,0,0,0,1,12,144,0,1.7047,30,85,1,0,12,0
705,12,0,0,0,1,16,256,0,2.1972,34,85,1,0,12,0
706,12,0,0,1,1,4,16,0,1.4171,22,85,1,1,12,0
707,12,0,0,0,1,11,121,1,2.3026,29,85,1,0,12,1
708,12,0,0,0,1,17,289,0,2.0149,35,85,1,0,12,0
709,11,0,0,0,0,16,256,0,1.2947,33,85,1,0,11,0
710,12,0,0,0,1,18,324,0,2.1848,36,85,1,0,12,0
711,18,0,0,0,1,15,225,0,2.8904,39,85,1,0,18,0
712,14,0,1,0,0,0,0,0,1.209,20,85,1,0,14,0
713,16,0,1,0,0,8,64,0,2.599,30,85,1,0,16,0
714,16,0,0,0,1,17,289,0,3.1135,39,85,1,0,16,0
715,18,0,0,0,0,13,169,0,2.9444,37,85,1,0,18,0
716,12,0,0,1,1,18,324,0,2.1894,36,85,1,1,12,0
717,11,0,1,1,1,16,256,0,1.9459,33,85,1,1,11,0
718,14,0,0,1,0,24,576,0,1.4271,44,85,1,1,14,0
719,12,0,0,0,1,23,529,0,2.2854,41,85,1,0,12,0
720,12,0,0,0,0,1,1,0,1.8971,19,85,1,0,12,0
721,12,0,0,1,1,10,100,1,1.9459,28,85,1,1,12,1
722,12,0,0,1,1,42,1764,0,1.291,60,85,1,1,12,0
723,18,0,0,1,0,37,1369,0,3.1279,61,85,1,1,18,0
724,12,0,0,1,1,14,196,0,1.6094,32,85,1,1,12,0
725,18,0,0,0,1,14,196,0,3.1135,38,85,1,0,18,0
726,12,0,0,1,1,11,121,0,2.4849,29,85,1,1,12,0
727,12,0,0,1,1,38,1444,0,1.8374,56,85,1,1,12,0
728,12,0,0,1,0,3,9,0,1.5041,21,85,1,1,12,0
729,12,0,0,0,1,9,81,0,1.7918,27,85,1,0,12,0
730,10,0,0,0,1,13,169,0,1.9095,29,85,1,0,10,0
731,12,0,0,0,0,9,81,0,2.1691,27,85,1,0,12,0
732,16,0,0,0,1,11,121,0,2.5859,33,85,1,0,16,0
733,13,0,0,1,1,30,900,0,1.8326,49,85,1,1,13,0
734,12,0,0,1,0,15,225,1,2.1961,33,85,1,1,12,1
735,14,0,0,0,0,2,4,0,2.0149,22,85,1,0,14,0
736,17,0,0,1,1,24,576,0,2.4849,47,85,1,1,17,0
737,18,0,0,1,0,31,961,1,2.6391,55,85,1,1,18,1
738,14,0,0,0,0,19,361,0,2.7988,39,85,1,0,14,0
739,14,0,0,0,0,2,4,0,1.8326,22,85,1,0,14,0
740,12,0,0,0,1,4,16,1,2.3514,22,85,1,0,12,1
741,9,0,0,1,1,46,2116,1,2.2513,61,85,1,1,9,1
742,6,0,0,1,1,43,1849,1,1.0986,55,85,1,1,6,1
743,14,0,0,1,1,13,169,0,2.2214,33,85,1,1,14,0
744,12,0,0,1,0,15,225,0,1.3863,33,85,1,1,12,0
745,12,0,0,1,0,16,256,0,1.335,34,85,1,1,12,0
746,12,0,0,1,1,19,361,0,1.7918,37,85,1,1,12,0
747,12,0,0,1,1,28,784,0,1.6094,46,85,1,1,12,0
748,12,0,0,0,1,42,1764,0,2.708,60,85,1,0,12,0
749,11,0,0,1,0,45,2025,1,1.7138,62,85,1,1,11,1
750,16,0,1,0,1,7,49,0,2.1972,29,85,1,0,16,0
751,17,0,0,0,1,31,961,0,3.2179,54,85,1,0,17,0
752,12,0,0,1,1,24,576,0,2.1389,42,85,1,1,12,0
753,14,0,0,1,1,17,289,0,1.6094,37,85,1,1,14,0
754,12,0,0,0,1,26,676,1,3.1001,44,85,1,0,12,1
755,16,0,1,0,1,5,25,1,2.2235,27,85,1,0,16,1
756,16,0,0,1,1,17,289,0,2.0794,39,85,1,1,16,0
757,10,1,0,1,0,33,1089,0,1.2528,49,85,1,1,10,0
758,13,1,0,1,1,2,4,0,1.209,21,85,1,1,13,0
759,16,1,1,1,1,14,196,0,1.209,36,85,1,1,16,0
760,16,1,0,1,1,28,784,1,2.9957,50,85,1,1,16,1
761,12,1,0,1,0,46,2116,0,1.3863,64,85,1,1,12,0
762,16,1,0,0,1,38,1444,0,2.8904,60,85,1,0,16,0
763,13,1,0,1,0,0,0,0,1.5041,19,85,1,1,13,0
764,12,1,0,1,0,1,1,0,2.0557,19,85,1,1,12,0
765,12,1,0,1,1,5,25,0,0.5596,23,85,1,1,12,0
766,18,1,0,1,1,13,169,0,1.6487,37,85,1,1,18,0
767,10,1,0,0,0,19,361,0,2.1691,35,85,1,0,10,0
768,12,1,0,0,1,5,25,0,1.6094,23,85,1,0,12,0
769,12,1,1,1,1,6,36,0,1.3218,24,85,1,1,12,0
770,13,1,0,0,1,9,81,0,1.7834,28,85,1,0,13,0
771,12,1,0,0,0,7,49,0,1.3863,25,85,1,0,12,0
772,3,1,0,0,1,55,3025,0,1.9459,64,85,1,0,3,0
773,17,1,0,1,0,1,1,0,1.6094,24,85,1,1,17,0
774,6,1,1,1,0,33,1089,0,1.5304,45,85,1,1,6,0
775,12,1,0,1,1,21,441,0,1.7492,39,85,1,1,12,0
776,18,0,0,0,1,29,841,0,3.2179,53,85,1,0,18,0
777,18,0,0,0,1,7,49,0,2.7593,31,85,1,0,18,0
778,16,0,0,0,0,10,100,0,2.7444,32,85,1,0,16,0
779,16,0,0,0,0,9,81,0,1.209,31,85,1,0,16,0
780,18,0,0,0,1,7,49,0,2.8994,31,85,1,0,18,0
781,18,0,0,0,0,33,1089,1,2.0794,57,85,1,0,18,1
782,13,0,0,0,0,31,961,0,1.7918,50,85,1,0,13,0
783,18,0,0,0,1,5,25,0,2.8478,29,85,1,0,18,0
784,16,0,0,1,0,2,4,0,1.7047,24,85,1,1,16,0
785,12,0,0,0,0,20,400,0,2.0347,38,85,1,0,12,0
786,16,0,1,0,0,4,16,0,1.8326,26,85,1,0,16,0
787,12,0,0,1,1,45,2025,0,1.8563,63,85,1,1,12,0
788,12,0,0,1,1,24,576,0,1.8839,42,85,1,1,12,0
789,12,0,0,0,1,43,1849,0,2.5257,61,85,1,0,12,0
790,18,0,0,0,1,10,100,0,2.5903,34,85,1,0,18,0
791,12,0,0,0,0,3,9,0,1.7047,21,85,1,0,12,0
