,wage,hours,IQ,KWW,educ,exper,tenure,age,married,black,south,urban,sibs,brthord,meduc,feduc,lwage
308,890,70,73,46,12,6,8,31,1,0,0,1,3,1.0,12.0,12.0,6.7912216
309,817,40,116,27,16,10,7,31,1,0,1,0,1,2.0,16.0,16.0,6.705639
310,812,40,98,42,12,10,2,29,0,0,0,1,3,2.0,12.0,12.0,6.6995006
311,577,60,104,43,14,6,2,30,1,0,1,1,2,3.0,14.0,12.0,6.3578424
312,756,40,78,29,14,9,2,31,1,0,0,1,2,2.0,12.0,12.0,6.6280413
313,1011,40,104,43,12,20,7,37,1,0,1,1,0,1.0,,,6.9186954
314,1155,45,85,39,12,14,1,34,1,0,0,1,2,1.0,12.0,12.0,7.0518556
315,1025,40,104,25,12,12,7,29,1,0,0,1,3,4.0,12.0,10.0,6.932448
316,1350,40,107,37,12,17,12,35,1,0,0,0,2,3.0,,,7.20786
317,1001,40,109,48,12,20,22,37,1,0,0,1,1,1.0,8.0,10.0,6.908755
318,796,48,119,31,13,16,15,37,1,1,0,1,7,1.0,11.0,,6.6795993
319,1230,50,96,33,13,11,12,30,1,0,0,1,3,2.0,10.0,11.0,7.1147695
320,754,40,93,31,12,13,1,30,1,0,0,1,5,,,,6.6253924
321,714,40,90,32,12,17,1,37,1,0,0,0,5,3.0,12.0,12.0,6.570883
322,1000,45,103,29,15,8,3,32,1,0,0,1,3,4.0,12.0,,6.9077554
323,2067,40,106,41,16,12,13,33,1,0,1,1,2,1.0,14.0,12.0,7.6338534
324,912,40,96,32,16,11,5,30,1,0,0,1,2,2.0,14.0,12.0,6.81564
325,600,40,114,39,12,8,5,30,1,0,1,1,6,3.0,8.0,8.0,6.3969297
326,951,40,86,33,11,13,1,31,1,0,0,1,3,4.0,9.0,,6.857514
327,711,45,110,38,16,8,5,32,1,0,1,1,3,2.0,13.0,12.0,6.5666723
328,1151,48,87,41,12,18,9,38,1,0,0,1,2,1.0,12.0,12.0,7.0483866
329,1000,40,89,31,12,9,5,28,1,0,0,1,2,3.0,13.0,12.0,6.9077554
330,841,44,106,40,12,15,10,31,1,0,0,1,5,6.0,8.0,,6.7345915
331,400,70,100,43,12,12,3,32,1,0,0,1,3,2.0,5.0,8.0,5.9914646
332,1175,45,111,38,12,17,14,34,1,0,0,1,0,1.0,16.0,4.0,7.0690236
333,1202,40,100,40,12,18,2,37,1,0,0,1,0,1.0,12.0,12.0,7.091742
334,1442,40,114,38,12,16,17,33,1,0,0,1,2,3.0,12.0,10.0,7.2737865
335,538,55,98,45,18,5,1,34,1,0,0,1,2,2.0,13.0,,6.2878585
336,781,40,89,24,11,13,10,30,1,0,0,1,3,1.0,9.0,8.0,6.660575
337,750,60,74,23,10,13,9,30,1,0,0,1,4,2.0,11.0,9.0,6.6200733
338,841,48,110,37,18,13,1,37,0,1,0,1,1,1.0,12.0,12.0,6.7345915
339,700,50,130,29,13,14,1,38,1,0,0,1,1,2.0,11.0,14.0,6.55108
340,1346,50,108,51,16,9,4,36,1,0,0,1,1,2.0,12.0,10.0,7.2048926
341,800,45,98,31,12,16,12,33,1,0,0,0,3,4.0,10.0,8.0,6.684612
342,1250,40,125,27,16,9,10,30,1,0,0,1,3,1.0,16.0,,7.130899
343,1105,40,104,29,16,5,8,29,1,0,0,1,3,1.0,12.0,12.0,7.007601
344,475,52,98,33,14,12,1,30,0,0,0,1,6,1.0,8.0,10.0,6.163315
345,762,58,104,37,15,6,4,33,1,0,0,0,2,1.0,11.0,12.0,6.6359468
346,962,40,120,33,12,18,19,36,1,0,0,1,3,,8.0,8.0,6.8690143
347,721,40,134,38,13,9,9,30,0,0,1,1,3,3.0,8.0,8.0,6.5806394
348,800,50,92,28,9,18,13,34,1,0,0,1,0,1.0,8.0,8.0,6.684612
349,658,40,129,34,16,11,9,30,1,0,0,1,2,1.0,13.0,16.0,6.489205
350,1270,40,118,42,14,4,16,36,1,0,0,1,2,1.0,12.0,12.0,7.1467724
351,1313,40,107,37,12,11,7,28,1,0,0,0,1,,12.0,,7.18007
352,824,42,92,37,12,19,15,38,1,0,0,1,1,1.0,12.0,11.0,6.7141705
353,1442,40,118,33,16,6,7,29,1,0,0,1,2,1.0,16.0,12.0,7.2737865
354,1400,42,108,38,17,7,3,31,1,0,0,1,2,1.0,12.0,14.0,7.2442274
355,1038,50,119,42,12,20,5,36,1,0,0,0,3,3.0,12.0,8.0,6.945051
356,668,43,109,29,12,11,12,29,1,0,0,0,2,3.0,8.0,7.0,6.504288
357,1100,40,91,41,12,18,10,36,1,0,0,0,2,3.0,8.0,8.0,7.0030656
358,1000,45,118,38,14,9,7,30,1,0,0,1,3,1.0,12.0,10.0,6.9077554
359,523,43,119,37,13,9,2,30,1,0,0,0,4,1.0,14.0,,6.2595816
360,1111,40,103,33,14,13,13,31,1,0,0,0,6,3.0,14.0,12.0,7.0130157
361,962,40,120,25,16,6,4,28,1,0,0,0,4,3.0,12.0,8.0,6.8690143
362,729,47,122,40,18,6,13,34,1,0,0,1,3,3.0,8.0,6.0,6.591674
363,690,40,119,35,12,9,5,28,1,0,0,1,1,2.0,8.0,,6.5366917
364,1010,50,104,37,11,15,7,38,1,0,0,0,6,1.0,9.0,6.0,6.9177055
365,600,40,96,22,11,7,2,29,1,0,1,1,4,3.0,8.0,8.0,6.3969297
366,596,40,83,36,12,16,17,34,1,0,0,0,3,3.0,8.0,8.0,6.3902407
367,850,44,115,37,12,11,1,29,1,0,0,1,3,2.0,,,6.7452364
368,670,40,88,27,12,9,2,29,1,0,0,1,7,3.0,10.0,8.0,6.5072775
369,793,40,96,43,12,17,18,36,1,0,0,0,4,5.0,8.0,8.0,6.675823
370,1442,40,123,42,17,14,7,38,1,0,1,0,2,3.0,12.0,6.0,7.2737865
371,670,50,108,43,12,14,8,34,1,0,1,1,5,1.0,11.0,7.0,6.5072775
372,876,45,116,35,16,10,8,29,1,0,0,1,2,1.0,12.0,12.0,6.7753663
373,841,40,109,45,18,13,2,36,1,0,0,0,3,4.0,16.0,12.0,6.7345915
374,975,40,97,39,13,8,0,31,1,0,0,1,3,1.0,12.0,12.0,6.8824377
375,1223,40,107,34,12,7,3,28,1,0,0,0,1,1.0,12.0,10.0,7.109062
376,910,30,95,27,12,16,5,35,1,0,1,1,2,3.0,12.0,14.0,6.8134446
377,533,45,109,31,15,8,2,30,1,0,0,1,2,2.0,15.0,12.0,6.2785215
378,750,40,104,36,12,15,11,33,1,0,0,0,0,1.0,12.0,12.0,6.6200733
379,1206,40,110,37,12,16,4,38,1,0,0,1,1,1.0,12.0,12.0,7.095064
380,745,40,94,40,13,17,1,36,0,0,0,0,2,3.0,13.0,8.0,6.6133842
381,900,40,103,38,12,15,1,37,1,0,1,0,3,3.0,8.0,6.0,6.802395
382,1170,47,123,45,14,9,14,32,1,0,0,1,3,4.0,8.0,12.0,7.0647593
383,540,50,113,33,12,12,3,31,1,0,0,0,5,4.0,6.0,12.0,6.291569
384,550,40,110,35,16,15,1,38,1,0,0,0,2,1.0,,,6.3099184
385,615,40,100,31,14,9,4,30,1,0,0,0,3,3.0,12.0,12.0,6.4216223
386,909,40,95,39,13,6,2,31,1,0,0,1,2,1.0,12.0,12.0,6.812345
387,769,40,100,34,12,18,12,36,1,0,0,0,1,2.0,8.0,8.0,6.645091
388,984,40,108,39,13,17,18,37,1,0,0,1,4,1.0,15.0,8.0,6.891626
389,833,60,101,47,12,15,12,37,1,0,0,1,5,2.0,12.0,,6.7250338
390,879,70,90,43,12,17,10,35,0,0,0,1,1,2.0,12.0,16.0,6.7787848
391,1027,45,115,41,12,16,7,35,1,0,0,1,4,3.0,8.0,5.0,6.934397
392,1000,55,114,41,16,10,1,33,1,0,1,0,0,1.0,,,6.9077554
393,465,43,84,33,13,10,1,29,1,0,0,1,3,3.0,11.0,11.0,6.1420374
394,1100,40,92,37,13,21,12,38,1,1,0,1,6,6.0,12.0,,7.0030656
395,641,45,125,44,14,9,0,37,1,0,0,1,1,1.0,12.0,11.0,6.4630294
396,1035,48,107,42,12,21,14,38,1,0,0,1,1,2.0,11.0,8.0,6.942157
397,1212,40,129,33,14,9,3,32,0,0,0,1,6,7.0,8.0,9.0,7.100027
398,950,40,98,40,12,11,6,30,1,0,0,1,3,4.0,12.0,12.0,6.856462
399,938,44,108,41,12,19,20,38,1,0,0,1,0,1.0,8.0,,6.84375
400,1250,40,114,37,16,8,8,30,1,0,0,1,5,3.0,2.0,8.0,7.130899
401,586,60,111,37,18,6,10,34,1,0,0,0,3,1.0,12.0,11.0,6.3733196
402,693,53,101,29,12,7,6,28,1,0,0,0,1,2.0,12.0,12.0,6.54103
403,562,40,99,25,12,18,12,34,0,0,0,0,1,1.0,12.0,12.0,6.331502
404,375,60,75,24,12,12,5,30,0,0,0,0,4,1.0,12.0,8.0,5.926926
405,673,40,91,29,12,7,11,38,1,0,0,0,0,1.0,6.0,,6.5117455
406,654,50,113,38,17,1,13,33,1,0,0,0,1,1.0,12.0,10.0,6.4831076
407,692,50,120,34,12,17,7,35,1,0,0,0,3,4.0,8.0,,6.539586
408,1111,40,98,32,14,10,1,29,1,0,0,1,3,1.0,12.0,15.0,7.0130157
409,1368,45,107,31,16,11,1,33,1,0,1,1,2,2.0,16.0,16.0,7.221105
410,1282,45,121,39,18,7,13,32,1,0,0,1,2,2.0,12.0,12.0,7.1561766
411,1250,60,115,40,11,19,4,38,1,0,0,1,1,2.0,,,7.130899
412,1346,40,134,42,15,15,7,35,1,0,0,1,2,1.0,12.0,10.0,7.2048926
413,1424,50,96,47,17,15,12,37,1,0,0,1,2,3.0,,,7.261225
414,854,48,120,38,16,8,5,29,0,0,0,1,2,3.0,12.0,16.0,6.7499313
415,888,50,105,36,15,9,5,32,0,0,0,1,2,2.0,12.0,10.0,6.788972
416,1161,50,121,40,12,5,10,34,1,0,0,1,5,6.0,10.0,,7.057037
417,583,58,113,29,16,9,0,30,1,0,0,1,2,2.0,12.0,9.0,6.368187
418,1260,45,106,37,12,5,3,29,1,0,0,1,2,1.0,12.0,13.0,7.138867
419,947,48,104,41,18,8,13,35,1,0,0,0,3,2.0,9.0,12.0,6.853299
420,1850,40,80,23,11,14,15,33,1,0,0,1,3,,10.0,10.0,7.522941
421,1575,40,117,28,12,13,2,30,1,0,0,1,3,3.0,10.0,10.0,7.3620105
422,758,38,126,42,16,10,8,28,0,0,0,1,2,2.0,12.0,12.0,6.6306834
423,1442,40,112,42,12,19,15,36,1,0,0,1,3,2.0,10.0,8.0,7.2737865
424,489,55,104,47,13,20,4,38,1,0,1,1,2,2.0,,,6.1923623
425,1126,40,116,33,12,5,0,31,1,1,0,1,9,5.0,9.0,10.0,7.026427
426,1000,40,70,18,12,12,5,32,0,1,0,1,6,,8.0,8.0,6.9077554
427,500,70,83,20,12,13,11,32,1,0,0,1,5,1.0,6.0,6.0,6.214608
428,1200,50,84,13,12,13,9,32,1,0,0,1,5,2.0,6.0,6.0,7.090077
429,565,45,82,30,10,15,3,33,1,0,0,0,4,4.0,,,6.336826
430,1920,40,109,32,12,13,2,31,1,0,0,0,0,1.0,12.0,8.0,7.5600805
431,684,45,111,25,14,7,7,29,1,0,0,1,4,1.0,12.0,12.0,6.527958
432,774,40,94,33,12,20,4,37,1,0,0,0,1,1.0,12.0,7.0,6.6515718
433,233,60,96,32,16,7,4,30,1,0,0,0,3,,12.0,8.0,5.4510384
434,975,40,101,33,13,12,10,30,1,0,0,0,3,3.0,12.0,13.0,6.8824377
435,1366,40,90,35,12,13,1,30,1,0,0,1,3,3.0,12.0,12.0,7.219642
436,2137,40,120,48,16,16,3,37,1,0,1,1,3,3.0,12.0,12.0,7.667158
437,700,40,120,38,16,10,1,29,1,0,1,1,1,1.0,12.0,12.0,6.55108
438,1200,40,108,29,12,16,11,33,1,0,0,1,3,2.0,8.0,,7.090077
439,1161,40,99,43,13,16,18,36,1,0,0,1,0,1.0,12.0,8.0,7.057037
440,729,60,80,31,11,16,15,34,1,0,0,1,6,1.0,12.0,6.0,6.591674
441,750,45,93,45,11,17,2,36,1,0,0,1,1,2.0,10.0,5.0,6.6200733
442,1026,45,85,46,12,4,16,38,1,0,0,1,1,2.0,,,6.933423
443,1111,45,118,43,15,11,3,32,1,0,0,1,3,1.0,11.0,10.0,7.0130157
444,625,50,115,31,12,12,8,31,1,0,0,1,2,3.0,12.0,,6.437752
445,1200,42,119,28,16,11,5,30,1,0,0,1,5,1.0,10.0,11.0,7.090077
446,1541,40,94,39,12,8,1,32,1,0,0,1,8,3.0,12.0,11.0,7.340187
447,1154,40,109,42,16,12,9,34,1,0,0,1,0,1.0,13.0,16.0,7.0509896
448,310,40,104,37,13,10,0,33,0,0,0,0,2,1.0,14.0,8.0,5.7365723
449,610,50,89,21,12,14,4,30,1,0,0,0,1,2.0,7.0,6.0,6.413459
450,1749,43,101,28,12,16,17,36,1,0,0,0,2,2.0,12.0,8.0,7.4667993
451,1000,40,96,34,16,9,1,31,0,0,1,1,4,2.0,12.0,7.0,6.9077554
452,350,40,109,48,12,14,1,36,1,0,0,0,1,1.0,9.0,7.0,5.857933
453,765,45,94,38,12,17,18,37,1,0,0,0,10,6.0,4.0,6.0,6.639876
454,790,40,115,34,12,15,2,34,1,0,0,0,6,5.0,6.0,5.0,6.672033
455,818,47,92,41,12,16,17,38,1,0,0,0,12,1.0,8.0,4.0,6.7068624
456,477,60,71,32,9,12,1,30,1,0,0,0,4,2.0,11.0,5.0,6.1675167
457,938,50,130,39,14,15,1,33,1,0,0,0,3,1.0,12.0,11.0,6.84375
458,2099,55,119,38,16,10,4,32,1,0,0,1,0,1.0,12.0,12.0,7.649216
459,350,40,74,24,12,14,3,32,1,0,0,1,4,2.0,10.0,13.0,5.857933
460,940,48,104,25,12,13,0,32,1,1,0,1,7,2.0,12.0,8.0,6.84588
461,1202,40,124,23,15,11,8,28,1,0,0,1,2,2.0,10.0,,7.091742
462,450,40,94,29,15,9,4,31,1,0,0,0,1,1.0,12.0,,6.1092477
463,1058,40,120,44,16,16,13,37,1,0,0,0,5,4.0,12.0,4.0,6.9641356
464,1000,40,96,40,11,15,15,37,1,0,0,1,5,5.0,8.0,9.0,6.9077554
465,318,40,67,35,12,16,5,36,1,1,1,1,6,,7.0,5.0,5.7620516
466,556,40,69,26,11,13,9,34,0,1,0,1,3,,8.0,8.0,6.3207684
467,958,60,98,42,12,11,9,28,1,0,0,1,0,1.0,12.0,11.0,6.8648477
468,995,40,92,23,9,22,13,38,1,1,0,1,7,3.0,7.0,4.0,6.902743
469,1600,50,109,44,14,16,5,33,1,0,0,0,2,,9.0,10.0,7.377759
470,606,45,100,39,18,6,5,30,0,0,0,0,1,,12.0,12.0,6.40688
471,511,45,101,25,12,13,1,30,1,0,0,1,4,2.0,11.0,12.0,6.2363696
472,1411,45,111,40,16,11,12,32,1,0,1,1,1,1.0,12.0,9.0,7.2520537
473,1346,40,106,38,16,15,11,37,1,0,0,1,1,1.0,8.0,14.0,7.2048926
474,1522,46,102,37,12,15,16,37,1,0,0,0,3,2.0,12.0,10.0,7.3277807
475,1075,40,115,28,14,9,10,30,1,0,0,0,2,1.0,12.0,10.0,6.980076
476,1200,50,99,37,12,11,11,28,1,0,0,1,5,4.0,10.0,8.0,7.090077
477,1377,37,118,48,16,15,1,36,1,0,0,1,2,2.0,11.0,10.0,7.2276626
478,874,55,132,37,13,8,2,33,1,0,0,0,2,1.0,13.0,16.0,6.7730803
479,625,40,108,26,13,11,9,30,1,0,0,1,3,,12.0,16.0,6.437752
480,1250,32,98,40,12,17,2,33,1,0,0,1,0,1.0,14.0,10.0,7.130899
481,1082,40,111,44,13,20,12,36,1,0,0,1,4,2.0,8.0,11.0,6.9865665
482,693,40,79,36,11,18,3,38,1,0,0,0,3,2.0,8.0,8.0,6.54103
483,727,55,97,29,12,11,11,31,1,0,0,0,3,1.0,12.0,11.0,6.5889263
484,615,50,99,49,15,16,15,38,1,0,0,0,2,3.0,12.0,14.0,6.4216223
485,913,40,101,33,16,5,7,31,1,0,0,1,2,3.0,12.0,,6.8167357
486,884,46,120,45,17,4,10,36,1,0,0,0,2,1.0,12.0,18.0,6.784457
487,698,43,97,33,12,10,4,29,1,0,0,1,2,3.0,8.0,8.0,6.548219
488,800,55,106,34,12,17,18,36,1,0,0,0,3,3.0,8.0,12.0,6.684612
489,812,40,131,44,16,9,3,30,0,0,0,0,1,1.0,12.0,12.0,6.6995006
490,1000,40,93,32,11,16,14,34,1,0,0,1,1,,12.0,8.0,6.9077554
491,549,49,79,23,12,11,3,32,0,0,0,0,4,2.0,8.0,8.0,6.3080983
492,1300,35,100,38,12,13,15,31,1,0,0,1,4,2.0,11.0,,7.17012
493,923,50,107,30,16,9,8,33,1,0,0,1,6,4.0,9.0,8.0,6.827629
494,1539,40,112,42,12,15,15,32,1,0,0,0,3,1.0,,10.0,7.338888
495,721,40,105,22,12,11,9,30,1,0,0,0,3,2.0,12.0,10.0,6.5806394
496,815,40,114,25,12,15,14,31,1,0,0,0,2,1.0,12.0,10.0,6.703188
497,600,80,116,36,12,20,2,38,1,0,0,0,10,10.0,8.0,,6.3969297
498,1100,40,104,41,12,18,7,37,1,0,0,1,2,3.0,11.0,13.0,7.0030656
499,1058,40,85,48,12,18,19,35,1,0,0,1,2,1.0,9.0,12.0,6.9641356
500,962,40,93,46,12,15,1,30,1,0,0,1,2,2.0,9.0,12.0,6.8690143
501,433,50,100,40,12,5,9,37,1,0,0,0,2,2.0,8.0,7.0,6.070738
502,940,40,71,20,11,9,2,29,1,0,0,0,2,3.0,,,6.84588
503,1417,38,88,36,16,9,10,32,0,0,0,1,2,1.0,12.0,12.0,7.256297
504,1000,65,93,32,12,11,9,29,1,0,0,1,7,1.0,12.0,8.0,6.9077554
505,500,40,98,26,13,14,5,32,1,0,0,0,3,4.0,12.0,8.0,6.214608
506,800,50,110,35,14,8,5,28,1,0,0,1,3,4.0,12.0,10.0,6.684612
507,766,40,109,31,12,17,18,35,1,0,0,0,4,3.0,,6.0,6.641182
508,750,43,94,38,14,12,10,33,1,0,0,0,1,1.0,11.0,12.0,6.6200733
509,550,40,77,36,12,15,2,37,1,0,0,0,6,3.0,8.0,8.0,6.3099184
510,795,52,89,35,11,16,4,34,1,0,0,1,6,1.0,,,6.6783423
511,723,40,102,44,12,12,10,30,1,0,0,1,10,6.0,12.0,6.0,6.5834093
512,1039,40,113,49,14,12,8,34,1,0,0,1,1,2.0,16.0,14.0,6.946014
513,200,55,103,38,10,11,15,32,1,0,1,1,3,2.0,12.0,5.0,5.2983174
514,400,40,90,36,10,12,1,32,1,1,0,1,5,3.0,8.0,,5.9914646
515,575,40,96,31,11,17,1,35,1,0,1,1,2,1.0,12.0,7.0,6.35437
516,850,40,97,35,11,16,5,37,1,0,1,1,1,1.0,12.0,6.0,6.7452364
517,508,50,87,35,12,16,1,32,1,1,1,1,2,1.0,10.0,,6.2304816
518,1162,45,89,39,12,11,4,37,1,0,1,1,3,3.0,15.0,,7.057898
519,1199,43,70,28,13,13,5,30,1,1,1,1,3,1.0,8.0,,7.089243
520,1270,40,104,34,16,8,4,31,1,0,1,1,3,4.0,16.0,17.0,7.1467724
521,350,45,116,36,16,5,3,33,1,0,1,1,2,2.0,11.0,12.0,5.857933
522,963,40,85,32,14,9,9,28,1,1,1,1,5,1.0,7.0,,6.8700533
523,1463,45,104,47,15,14,11,37,1,0,1,1,3,4.0,12.0,12.0,7.2882442
524,802,40,99,26,12,13,12,29,1,1,1,1,8,6.0,9.0,12.0,6.6871085
525,642,45,93,18,12,12,7,30,1,1,1,1,1,2.0,6.0,6.0,6.464588
526,751,40,114,37,13,9,2,28,1,0,1,1,2,2.0,12.0,10.0,6.6214056
527,488,40,103,40,17,5,3,31,1,0,1,1,1,,12.0,16.0,6.1903152
528,1400,40,92,34,12,15,5,36,1,0,1,1,2,1.0,6.0,2.0,7.2442274
529,940,45,98,41,18,10,7,31,1,0,1,1,2,2.0,8.0,12.0,6.84588
530,866,40,114,48,13,15,16,37,1,0,1,1,3,1.0,12.0,,6.763885
531,675,40,77,42,12,20,4,38,1,1,1,1,5,2.0,12.0,6.0,6.514713
532,375,40,89,24,14,9,3,30,1,1,1,1,3,1.0,13.0,,5.926926
533,325,40,93,44,14,10,1,33,1,1,1,1,1,,16.0,,5.7838254
534,346,40,110,37,12,16,17,38,1,0,1,1,2,,12.0,5.0,5.846439
535,1442,40,132,39,17,8,1,33,1,0,1,1,3,1.0,8.0,12.0,7.2737865
536,560,49,112,37,16,13,2,32,1,0,1,0,3,1.0,8.0,2.0,6.3279366
537,550,56,99,42,12,17,11,36,1,0,1,1,1,2.0,12.0,12.0,6.3099184
538,950,44,96,26,16,8,10,32,1,1,1,1,1,2.0,10.0,,6.856462
539,684,45,106,45,13,16,2,38,1,0,1,1,1,1.0,12.0,14.0,6.527958
540,1322,40,128,43,16,7,1,33,1,0,1,1,0,1.0,18.0,,7.186901
541,1634,40,95,48,12,18,3,38,1,0,1,1,3,3.0,,3.0,7.398786
542,417,40,80,30,12,8,0,30,0,0,1,1,3,4.0,8.0,7.0,6.0330863
543,472,45,71,24,11,9,0,32,1,0,1,1,13,6.0,6.0,6.0,6.156979
544,666,50,89,28,12,16,1,34,1,1,1,1,6,1.0,9.0,,6.50129
545,1679,55,127,45,18,10,3,32,1,0,1,1,1,2.0,12.0,16.0,7.425954
546,1039,40,114,43,16,1,9,31,0,0,1,1,6,5.0,8.0,8.0,6.946014
547,1250,40,102,30,13,13,11,30,1,0,1,1,5,6.0,7.0,,7.130899
548,760,40,88,34,12,12,15,31,1,0,1,1,2,1.0,12.0,7.0,6.6333184
549,1154,42,88,32,12,14,12,29,1,0,1,1,2,2.0,12.0,7.0,7.0509896
550,1602,60,110,45,15,14,1,37,1,0,0,1,5,1.0,14.0,12.0,7.3790083
551,1442,40,110,40,13,13,13,29,1,1,1,1,1,2.0,7.0,9.0,7.2737865
552,865,40,130,39,16,5,3,30,1,0,0,1,4,2.0,8.0,12.0,6.7627296
553,705,50,100,44,12,15,12,36,1,0,1,1,1,2.0,,,6.558198
554,1000,40,101,36,12,16,1,35,1,0,1,1,1,1.0,12.0,,6.9077554
555,852,44,89,36,10,13,9,32,1,0,1,1,6,7.0,9.0,,6.7475867
556,770,40,80,25,12,16,14,35,1,0,0,1,1,2.0,12.0,12.0,6.6463904
557,1000,40,72,20,12,16,9,34,1,0,0,1,3,4.0,12.0,12.0,6.9077554
558,1329,55,115,56,18,10,5,36,1,0,0,1,1,1.0,12.0,12.0,7.192182
559,1682,40,115,48,16,10,4,37,1,0,1,1,1,2.0,12.0,17.0,7.4277387
560,577,55,108,47,16,4,0,31,1,1,1,1,2,2.0,8.0,8.0,6.3578424
561,685,40,93,27,12,17,7,38,0,0,1,1,6,6.0,8.0,3.0,6.529419
562,577,40,111,37,16,8,8,29,0,1,1,1,1,1.0,18.0,18.0,6.3578424
563,1040,40,101,38,12,19,9,38,1,1,1,1,6,1.0,11.0,12.0,6.946976
564,1250,40,92,42,16,10,11,32,0,0,1,1,1,1.0,12.0,10.0,7.130899
565,600,40,115,40,13,7,7,28,0,0,1,1,4,5.0,5.0,,6.3969297
566,480,40,76,29,12,17,3,35,0,1,1,1,8,5.0,11.0,10.0,6.173786
567,1000,40,93,26,11,11,0,29,1,0,1,1,5,3.0,12.0,12.0,6.9077554
568,988,48,91,39,12,15,15,36,1,0,1,1,1,2.0,8.0,8.0,6.895683
569,478,45,90,35,10,19,10,34,1,0,1,1,2,1.0,9.0,9.0,6.1696105
570,440,40,84,23,12,11,2,30,1,1,1,1,5,3.0,9.0,4.0,6.086775
571,485,40,120,43,12,11,1,30,1,1,1,1,6,6.0,,,6.184149
572,705,40,89,32,9,19,0,36,1,1,1,1,0,1.0,,,6.558198
573,1550,40,104,47,12,16,1,34,1,0,1,0,8,4.0,9.0,10.0,7.34601
574,960,40,107,23,12,11,9,29,1,1,1,1,11,2.0,6.0,9.0,6.8669333
575,1000,40,100,42,12,16,14,32,1,0,1,1,2,3.0,12.0,12.0,6.9077554
576,625,40,129,40,18,4,5,36,1,0,1,0,3,1.0,15.0,15.0,6.437752
577,1346,40,112,39,16,14,14,35,1,0,0,1,0,1.0,12.0,16.0,7.2048926
578,961,40,76,17,12,13,13,31,0,1,0,1,13,5.0,,8.0,6.8679743
579,479,40,97,45,12,15,1,38,1,0,1,0,3,4.0,,,6.1717005
580,1201,50,98,38,11,17,16,36,1,0,1,0,4,5.0,11.0,2.0,7.09091
581,1346,45,60,34,16,8,2,31,1,0,1,1,2,3.0,,,7.2048926
582,1122,35,132,45,18,13,8,32,1,0,1,1,2,3.0,12.0,7.0,7.022868
583,543,45,90,31,14,5,7,38,1,1,1,1,1,2.0,6.0,,6.297109
584,450,40,63,26,11,12,4,31,1,1,1,1,7,2.0,7.0,,6.1092477
585,507,55,110,36,14,10,4,32,1,0,1,1,2,2.0,13.0,16.0,6.228511
586,547,60,88,38,11,17,5,34,1,0,1,1,4,5.0,,,6.3044486
587,586,56,98,41,11,18,16,35,1,0,1,1,2,2.0,,6.0,6.3733196
588,462,55,61,24,12,6,4,29,1,1,1,0,9,,8.0,3.0,6.135565
589,705,40,76,32,12,13,8,37,1,1,0,1,5,,,,6.558198
590,1566,40,127,44,12,7,1,29,1,0,0,1,3,2.0,11.0,,7.35628
591,1634,40,94,39,13,18,18,36,1,0,1,1,2,2.0,8.0,8.0,7.398786
592,1282,45,97,48,16,4,1,32,1,0,0,1,11,3.0,16.0,16.0,7.1561766
593,556,40,127,44,16,6,2,31,1,1,1,1,2,1.0,12.0,12.0,6.3207684
594,1200,40,109,42,15,7,8,33,1,0,0,1,2,1.0,11.0,12.0,7.090077
595,855,45,89,21,12,6,6,31,1,0,1,0,4,3.0,3.0,3.0,6.7511015
596,1053,40,90,33,12,18,7,37,1,0,1,0,1,1.0,11.0,11.0,6.9593987
597,1000,48,105,39,12,11,4,28,1,0,1,0,0,1.0,12.0,7.0,6.9077554
598,900,55,100,27,12,18,5,34,0,0,0,1,2,2.0,8.0,,6.802395
599,1602,45,111,40,16,10,10,31,1,0,1,0,1,,16.0,12.0,7.3790083
600,508,50,125,44,17,9,2,31,1,0,1,1,3,1.0,16.0,13.0,6.2304816
601,1500,60,124,20,16,6,6,29,1,0,1,0,2,,12.0,10.0,7.3132205
602,1682,50,107,41,14,15,9,32,1,0,1,1,0,1.0,12.0,12.0,7.4277387
603,750,40,110,45,13,13,1,35,1,0,1,1,2,,12.0,16.0,6.6200733
604,843,40,102,32,14,8,7,29,1,0,1,0,1,1.0,16.0,16.0,6.736967
605,409,40,93,26,12,17,18,38,0,0,1,0,0,1.0,,,6.0137153
606,1004,40,81,36,12,17,15,34,1,0,1,0,1,1.0,12.0,,6.9117475
607,650,40,99,36,12,13,10,30,1,0,1,0,1,2.0,12.0,10.0,6.4769726
608,808,40,93,26,12,17,9,37,1,1,1,0,4,1.0,,,6.694562
609,2137,45,102,35,13,8,2,30,1,0,1,0,0,1.0,12.0,12.0,7.667158
610,761,48,95,44,12,14,21,38,1,0,1,1,1,1.0,12.0,5.0,6.6346335
611,769,40,98,37,16,8,3,35,0,0,1,1,0,1.0,11.0,8.0,6.645091
612,345,40,84,28,12,7,8,31,1,1,1,1,2,2.0,,,5.8435445
613,495,40,88,30,12,6,10,31,1,0,1,1,2,1.0,,7.0,6.204558
614,987,38,109,41,16,9,3,31,1,0,1,1,3,4.0,4.0,,6.89467
615,2500,60,82,41,12,21,1,38,1,0,1,0,3,3.0,8.0,5.0,7.824046
616,1098,45,105,22,14,6,1,32,0,0,1,1,1,2.0,12.0,,7.0012455
617,1212,40,95,36,12,6,16,38,1,0,1,0,3,1.0,12.0,8.0,7.100027
618,577,40,92,33,15,8,1,28,1,1,1,1,1,2.0,10.0,7.0,6.3578424
